"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGIND01","CNGREP01","PR_51_N","PR_51_Y","PR_52_N","PR_52_Y","PR_53_N","PR_53_Y","PR_54_N","PR_54_Y","PR_55_N","PR_55_Y","PR_56_N","PR_56_Y","PR_57_N","PR_57_Y","PR_58_N","PR_58_Y","PR_59_N","PR_59_Y","PR_60_N","PR_60_Y","PR_61_N","PR_61_Y","PR_62_N","PR_62_Y","PR_63_N","PR_63_Y","PR_64_N","PR_64_Y","PR_65_N","PR_65_Y","PR_66_N","PR_66_Y","PR_67_N","PR_67_Y","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","SENDEM01","SENDEM02","SENLIB01","SENREP01","USSDEM01","USSDEM02"
"40","101","35","24","17","2","1730","0","0","0","0","0","0","0","0","0","1345","0","0","0","0","0","0","0","0","0","0","0","423","0","0","0","875","0","431","0","0","876","721","575","545","731","593","659","507","755","665","626","744","569","622","669","466","821","740","469","772","472","847","415","913","373","859","452","639","669","698","574","483","751","703","582","425","25","55","9","791","446","0","0","803","534","445"
"40","102","35","24","17","2","1951","0","0","0","0","0","0","0","0","0","1687","0","0","0","0","0","0","0","0","0","0","0","390","0","0","0","1219","0","419","0","0","1214","988","615","698","890","689","866","595","973","865","728","966","681","804","809","619","991","927","601","1007","548","1104","468","1252","360","1150","478","754","894","960","635","586","946","893","712","431","13","59","2","1133","444","0","0","1117","721","462"
"40","103","35","24","17","2","1384","0","0","0","0","0","0","0","0","0","1131","0","0","0","0","0","0","0","0","0","0","0","251","0","0","0","832","0","271","0","0","819","654","435","492","581","481","582","397","667","606","475","656","454","577","517","414","672","642","392","656","387","739","319","857","232","798","307","565","546","656","419","392","651","655","432","280","13","35","1","764","311","0","0","748","473","320"
"40","104","35","24","17","2","832","0","0","0","0","0","0","0","0","0","746","0","0","0","0","0","0","0","0","0","0","0","197","0","0","0","524","0","217","0","0","513","444","271","310","400","324","372","238","458","415","300","386","338","367","348","289","423","427","251","470","225","477","217","516","199","476","241","381","351","430","281","300","389","420","287","242","7","22","1","436","232","0","0","450","288","225"
"40","105","35","24","17","2","670","0","0","0","0","0","0","0","0","0","582","0","0","0","0","0","0","0","0","0","0","0","172","0","0","0","389","0","180","0","0","384","354","206","221","324","262","271","201","345","319","233","320","249","260","293","197","351","314","210","347","191","368","168","364","192","368","201","277","288","335","214","219","308","293","257","183","11","27","1","333","183","0","0","360","225","180"
"40","106","35","24","17","2","1440","0","0","0","0","0","0","0","0","0","1263","0","0","0","0","0","0","0","0","0","0","0","264","0","0","0","959","0","298","0","0","930","758","447","563","626","581","600","451","728","755","445","690","543","629","582","469","734","728","426","785","374","806","372","895","321","839","381","675","558","715","478","451","711","706","505","337","12","46","6","821","321","0","0","864","503","359"
"40","107","35","24","17","2","562","0","0","0","0","0","0","0","0","0","429","0","0","0","0","0","0","0","0","0","0","0","132","0","0","0","275","0","134","0","0","277","214","196","181","227","179","227","160","250","207","202","242","174","211","201","150","266","242","152","205","202","254","151","311","99","279","135","219","199","247","165","166","230","256","158","138","8","17","4","240","150","0","0","249","141","177"
"40","108","35","24","17","2","1637","0","0","0","0","0","0","0","0","0","1303","0","0","0","0","0","0","0","0","0","0","0","452","0","0","0","793","0","504","0","0","752","573","649","435","782","565","609","466","733","548","671","599","660","502","736","379","857","627","535","715","477","769","439","804","423","644","593","629","629","634","584","488","693","582","650","542","19","49","5","630","515","0","0","681","547","394"
"40","109","35","24","17","2","1620","0","0","0","0","0","0","0","0","0","1279","0","0","0","0","0","0","0","0","0","0","0","547","0","0","0","668","0","581","0","0","646","584","626","437","756","595","570","453","731","473","743","594","646","470","737","375","844","558","586","705","454","693","484","691","519","627","598","496","741","617","575","557","587","538","665","589","32","78","4","528","606","0","0","587","617","380"
"40","110","35","24","17","2","883","0","0","0","0","0","0","0","0","0","703","0","0","0","0","0","0","0","0","0","0","0","272","0","0","0","399","0","281","0","0","381","327","339","261","395","320","324","221","436","285","378","351","325","254","405","196","465","322","317","376","267","385","266","402","267","358","318","304","380","329","328","289","346","316","357","296","19","34","1","326","289","0","0","352","261","232"
"40","111","35","24","17","2","1008","0","0","0","0","0","0","0","0","0","865","0","0","0","0","0","0","0","0","0","0","0","236","0","0","0","594","0","291","0","0","542","465","373","326","495","413","401","345","472","414","414","391","448","385","450","297","536","428","355","513","292","563","257","580","254","480","357","420","425","450","367","319","483","403","436","316","6","50","1","452","294","0","0","504","398","236"
"40","112","35","24","17","2","1621","0","0","0","0","0","0","0","0","0","1347","0","0","0","0","0","0","0","0","0","0","0","403","0","0","0","890","0","447","0","0","852","701","589","512","750","612","631","489","763","641","638","652","659","595","693","453","825","690","530","738","515","832","438","849","432","768","525","664","646","746","543","492","742","634","657","457","16","57","6","743","483","0","0","772","617","386"
"40","113","35","24","17","2","883","0","0","0","0","0","0","0","0","0","720","0","0","0","0","0","0","0","0","0","0","0","265","0","0","0","417","0","301","0","0","384","348","331","250","426","288","373","253","420","294","392","318","376","301","386","199","486","353","288","400","268","415","258","437","245","368","320","318","382","359","324","296","353","324","369","299","12","23","5","340","315","0","0","341","331","221"
"40","114","35","24","17","2","973","0","0","0","0","0","0","0","0","0","770","0","0","0","0","0","0","0","0","0","0","0","274","0","0","0","459","0","274","0","0","456","353","377","270","458","321","374","270","436","295","427","368","375","337","390","227","494","367","306","420","283","480","232","466","254","409","319","345","400","366","338","273","409","337","390","319","11","34","7","374","317","0","0","390","333","229"
"40","115","35","24","17","2","1771","0","0","0","0","0","0","0","0","0","1473","0","0","0","0","0","0","0","0","0","0","0","481","0","0","0","922","0","550","0","0","868","742","637","519","835","607","716","491","846","586","790","679","734","624","752","440","937","679","609","747","574","875","484","948","423","716","674","714","697","695","661","497","808","628","760","581","19","76","3","727","573","0","0","783","643","439"
"40","116","35","24","17","2","1822","0","0","0","0","0","0","0","0","0","1511","0","0","0","0","0","0","0","0","0","0","0","494","0","0","0","952","0","587","0","0","879","709","731","561","853","647","727","550","835","629","791","682","777","672","754","447","986","760","586","792","591","904","500","962","462","773","655","718","740","764","661","531","832","659","774","604","18","56","2","746","604","0","0","797","641","487"
"40","117","35","24","17","2","791","0","0","0","0","0","0","0","0","0","619","0","0","0","0","0","0","0","0","0","0","0","245","0","0","0","351","0","243","0","0","356","300","287","214","370","272","299","244","336","253","339","337","265","247","342","202","390","337","230","329","260","402","187","393","191","316","272","307","289","337","248","238","338","309","287","247","11","22","1","322","252","0","0","332","268","220"
"40","118","35","24","17","2","934","0","0","0","0","0","0","0","0","0","679","0","0","0","0","0","0","0","0","0","0","0","299","0","0","0","337","0","312","0","0","334","267","359","192","424","290","312","240","370","217","409","276","370","247","394","153","476","312","282","331","292","381","241","399","232","308","329","294","357","277","349","241","355","280","352","329","12","38","4","272","327","0","0","289","274","258"
"40","119","35","24","17","2","1304","0","0","0","0","0","0","0","0","0","1111","0","0","0","0","0","0","0","0","0","0","0","388","0","0","0","663","0","439","0","0","625","573","473","405","619","532","473","428","580","458","576","551","514","483","567","362","683","559","439","657","354","692","340","695","349","587","466","555","512","523","505","409","583","477","568","449","14","51","2","551","448","0","0","571","475","331"
"40","120","35","24","17","2","1024","0","0","0","0","0","0","0","0","0","878","0","0","0","0","0","0","0","0","0","0","0","252","0","0","0","581","0","273","0","0","555","454","373","363","452","388","417","319","490","425","403","410","440","420","415","292","544","485","308","491","326","550","256","562","272","501","341","445","404","464","356","315","473","418","410","308","16","40","2","469","306","0","0","501","378","242"
"40","121","35","24","17","2","726","0","0","0","0","0","0","0","0","0","619","0","0","0","0","0","0","0","0","0","0","0","182","0","0","0","417","0","196","0","0","405","389","210","260","326","263","312","180","407","375","218","314","289","271","338","235","363","340","229","399","186","376","213","390","214","389","220","321","287","370","229","234","343","307","296","203","10","26","3","348","183","0","0","400","229","189"
"40","122","35","24","17","2","1567","0","0","0","0","0","0","0","0","0","1365","0","0","0","0","0","0","0","0","0","0","0","430","0","0","0","870","0","525","0","0","793","623","664","466","784","588","638","469","783","582","706","600","717","599","699","430","844","668","530","808","424","823","436","844","448","709","595","682","636","716","550","478","734","598","684","542","17","74","2","656","524","0","0","725","581","411"
"40","123","35","24","17","2","1506","0","0","0","0","0","0","0","0","0","1283","0","0","0","0","0","0","0","0","0","0","0","365","0","0","0","858","0","447","0","0","784","690","532","472","719","575","587","443","742","609","610","581","671","558","664","446","775","620","520","740","438","767","429","798","413","679","555","624","617","705","490","473","670","582","629","467","18","66","3","656","449","0","0","730","569","354"
"40","124","35","24","17","2","1313","0","0","0","0","0","0","0","0","0","1072","0","0","0","0","0","0","0","0","0","0","0","384","0","0","0","629","0","434","0","0","594","528","484","368","634","493","474","400","584","427","581","476","561","437","571","333","674","539","415","631","369","647","333","665","347","580","449","460","572","533","466","415","536","449","568","454","16","38","5","517","437","0","0","536","499","313"
"40","201","35","24","17","2","1476","0","0","0","0","0","0","0","0","0","1292","0","0","0","0","0","0","0","0","0","0","0","651","0","0","0","584","0","699","0","0","541","634","588","336","870","625","576","435","769","460","750","450","796","399","827","325","891","469","711","724","462","664","543","552","671","425","816","552","703","675","538","610","564","432","800","727","23","39","1","423","714","0","0","504","701","338"
