"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g18","R","10-1001","12","5","4","0","0","0","0","0","0","0","3","5","7","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","3","0","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g18","R","10-1002","145","63","37","0","0","3","1","0","4","0","37","60","85","6","3","0","0","10","2","7","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","4","5","9","0","1","3","4","3","7","25","0","0","1","2","1","3","12","0","0","2","0","3","4","9","0","0","1","3","2","6","7","0","1","0","4","2","6","5","0","0","0","0","0","0","2","0","1","0","1","1","1","2","26","5","1","4","1","6","3","4","13","8","6","0","4","0","1","3","2","13","9","10","6","1","0","4","3","1","3","4","2","0","1","0","0","0","0","1"
"g18","R","10-1004","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g18","R","10-1006","161","74","43","1","0","0","1","0","2","0","40","79","82","5","1","2","0","3","2","3","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","5","6","3","3","11","0","4","6","3","9","9","14","0","2","2","2","6","6","9","0","0","0","3","3","2","8","0","0","3","6","4","4","3","0","1","6","4","5","1","3","0","0","1","1","1","0","0","0","0","0","0","0","1","0","20","16","4","4","3","4","3","3","17","6","5","0","2","3","2","0","7","18","13","8","2","1","2","2","1","3","8","2","1","0","0","0","0","0","0","1"
"g18","R","10-1009","422","230","78","5","0","4","0","1","6","1","97","209","213","5","3","5","0","16","3","7","1","0","0","0","0","1","1","0","0","1","0","0","0","1","0","2","0","0","0","0","0","1","2","0","0","0","9","8","9","8","19","50","0","9","11","13","12","33","49","0","1","2","1","1","13","25","0","1","1","1","5","12","15","0","4","5","8","10","10","14","0","7","3","6","11","11","8","0","1","0","3","1","2","5","0","0","0","2","2","1","0","55","42","14","12","11","18","6","12","60","16","9","2","3","5","2","1","4","36","43","12","0","9","3","8","0","10","12","1","5","2","1","1","0","1","3","3"
"g18","R","10-1011","59","35","10","0","0","0","2","0","1","0","11","29","30","0","0","1","0","4","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","0","2","8","0","0","2","4","3","5","7","0","0","0","2","1","1","2","0","0","0","2","1","0","1","0","0","1","0","3","2","1","0","0","1","1","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","11","4","1","4","0","4","0","1","10","3","3","0","0","0","1","0","1","2","3","1","1","3","0","1","0","1","1","1","1","0","0","0","0","0","0","1"
"g18","R","10-1012","23","6","3","0","0","0","2","0","2","0","10","15","8","0","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","1","1","1","1","2","0","0","1","1","0","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","0","2","0","0","0","0","0","2","2","0","0","1","1","0","0","0","0","0","1","3","2","1","1","0","1","1","0","1","1","1","0","0","0","0","0","0","2"
"g18","R","10-1013","74","22","44","2","0","0","0","0","0","0","6","38","36","8","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","0","2","3","0","1","2","2","1","5","2","0","3","2","0","3","7","7","0","1","3","1","2","5","10","0","1","0","0","2","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","5","5","2","1","0","1","1","2","5","8","8","1","3","3","1","3","5","12","1","3","0","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0"
"g18","R","10-1014","255","74","104","10","0","1","6","0","0","0","60","132","124","34","23","28","5","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","3","3","8","16","0","5","3","3","2","6","14","0","6","6","5","11","9","14","0","2","6","6","7","14","18","0","2","8","2","5","5","8","0","7","6","4","2","6","5","0","2","1","2","1","0","3","0","1","3","0","1","2","1","18","12","9","3","2","4","2","6","18","25","12","7","3","4","11","5","12","25","22","17","3","7","0","4","0","1","6","3","4","4","2","0","1","0","0","3"
"g18","R","10-1510","1191","457","370","27","0","7","14","0","11","0","305","607","584","92","25","61","8","19","13","5","4","1","0","0","0","6","14","4","0","5","4","2","1","0","0","0","0","0","0","1","0","2","0","0","0","0","26","35","20","35","32","59","0","21","40","37","36","52","64","0","8","12","12","20","46","93","0","6","13","14","17","42","87","0","20","33","24","29","36","33","0","21","25","17","22","24","21","0","4","7","6","4","6","7","0","4","8","4","6","1","2","117","102","19","33","16","33","9","33","95","54","38","21","12","13","25","9","25","173","104","61","19","16","11","21","9","20","44","22","13","3","6","3","3","2","2","5"
