"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g14","R","10-1001","2474","948","795","71","5","33","17","0","27","0","578","1225","1249","121","36","62","13","71","36","34","11","1","1","0","0","6","21","2","1","4","7","2","1","1","1","0","0","0","1","1","0","4","1","2","0","0","34","45","43","54","103","127","0","28","57","49","88","170","150","0","21","27","31","65","100","169","0","20","25","27","45","102","163","0","27","64","46","52","67","62","0","37","39","29","51","58","46","0","7","13","8","16","21","23","0","9","11","6","13","13","13","106","134","85","126","55","90","45","41","266","60","70","31","73","38","77","45","61","340","99","116","53","81","30","56","23","33","87","27","34","13","24","8","10","4","7","26"
"g14","R","10-1003","1464","640","432","35","0","16","11","0","19","2","309","723","741","30","10","8","5","77","22","34","5","2","1","0","1","5","2","0","0","1","1","5","0","2","1","1","0","0","2","1","0","1","0","1","0","0","30","22","24","42","54","104","0","21","26","34","59","105","119","0","17","11","17","23","46","121","0","12","5","18","37","41","84","0","19","21","22","29","31","44","0","19","15","26","28","19","36","0","9","3","5","7","12","10","0","10","1","3","7","7","9","51","88","61","79","46","65","19","30","201","31","54","28","28","14","44","15","34","184","52","60","23","39","15","31","10","17","62","21","12","10","10","4","5","3","3","15"
"g14","R","10-1004","60","33","10","3","0","1","1","0","0","0","12","26","34","0","0","0","0","4","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","8","0","1","1","4","3","6","6","0","0","0","1","0","1","4","0","0","0","1","0","0","3","0","0","0","1","1","3","0","0","2","0","3","0","1","1","0","0","0","1","1","1","0","0","1","0","0","1","0","0","2","6","4","4","0","2","1","2","12","0","0","0","1","0","1","0","0","8","3","5","0","1","0","1","0","0","2","0","1","1","1","0","0","0","0","2"
"g14","R","10-1006","16","6","2","0","0","0","3","0","1","0","4","11","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","1","0","0","1","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","2","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","1","0","0","0","0","1","0","0","1","0","0","2"
"g14","R","10-1009","83","15","52","2","0","0","0","0","0","0","14","41","42","5","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","2","0","0","1","2","2","2","3","0","4","1","1","4","8","10","0","0","2","2","2","8","10","0","0","1","1","1","2","2","0","0","3","1","0","2","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","2","2","1","1","2","2","1","0","4","2","8","5","2","5","7","0","7","16","0","4","2","1","4","1","0","0","2","0","0","0","2","0","0","0","0","0"
"g14","R","10-1010","250","64","118","12","0","0","5","0","2","1","48","118","132","23","19","14","5","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","2","2","1","8","12","0","1","4","5","4","6","12","0","3","5","5","13","10","15","0","7","8","7","13","15","17","0","3","2","4","3","2","8","0","2","7","2","4","6","5","0","3","2","1","1","1","5","0","1","2","0","2","1","1","8","5","6","8","4","7","5","6","15","8","9","15","17","4","22","3","11","29","10","12","0","9","2","6","2","1","6","6","6","2","1","0","0","0","2","3"
"g14","R","10-1520","643","251","224","24","1","12","5","0","0","0","126","300","343","43","7","19","3","19","6","10","5","0","0","0","0","2","1","1","0","0","0","2","0","0","0","0","0","0","0","0","0","3","0","1","1","0","8","13","7","14","29","37","0","3","16","12","16","43","53","0","3","12","11","9","26","46","0","4","7","12","16","27","51","0","3","15","6","5","17","18","0","9","10","5","11","14","13","0","2","3","2","2","7","5","0","4","3","2","1","4","7","20","24","10","37","16","20","9","21","94","15","24","11","21","9","18","15","24","87","19","16","8","28","14","13","3","7","18","10","6","8","8","3","1","0","3","3"
"g14","R","10-1560","1034","404","345","23","1","10","5","0","8","2","236","492","542","19","14","11","2","54","23","15","1","1","0","0","0","2","0","0","0","3","0","3","0","6","0","1","1","1","0","0","0","2","2","1","0","0","11","12","12","25","47","70","0","9","18","37","42","43","78","0","6","9","20","24","32","74","0","4","6","14","34","30","92","0","16","12","17","24","27","31","0","5","15","13","22","24","30","0","2","6","6","4","5","0","0","2","3","5","5","5","6","46","51","38","61","26","41","15","23","103","32","57","23","31","20","40","20","21","101","37","40","33","29","16","26","4","8","43","7","10","2","11","5","2","1","4","7"
"g14","R","10-1570","1060","340","423","30","1","12","9","0","8","0","237","481","579","13","9","5","1","40","22","13","8","1","4","0","0","1","2","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","12","8","17","12","34","53","0","17","14","28","30","47","68","0","4","5","15","22","38","107","0","13","10","14","15","50","130","0","16","4","11","15","26","48","0","11","10","13","18","32","33","0","6","4","2","8","5","9","0","2","1","3","4","10","6","49","48","35","47","13","21","19","14","94","34","40","30","41","17","43","17","42","159","38","54","19","34","15","30","7","9","31","14","18","7","9","2","2","0","2","6"
"g14","R","10-1580","1032","337","384","28","1","15","10","0","10","0","247","494","539","13","3","8","0","50","32","35","11","0","2","1","0","3","1","1","0","3","0","2","0","0","4","4","1","0","0","0","0","1","3","1","0","0","9","12","9","24","31","61","0","14","16","12","35","43","71","0","4","9","6","28","35","94","0","5","13","11","33","48","98","0","14","16","13","24","24","45","0","16","11","9","31","25","19","0","8","3","2","5","9","9","0","1","2","0","8","7","10","28","50","25","54","23","47","12","20","78","20","35","38","29","16","38","23","21","164","37","35","22","42","22","31","5","12","41","13","12","11","3","3","3","5","4","10"
