"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g18","V","101","1149","262","581","41","1","17","13","0","10","1","223","558","591","62","51","42","8","10","19","10","3","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","0","2","4","5","0","0","4","12","8","19","21","40","0","7","17","14","24","46","50","0","14","30","43","42","81","92","0","6","34","44","48","70","77","0","10","15","30","16","15","24","0","9","16","27","11","31","19","0","1","5","9","5","11","11","0","0","8","9","2","12","10","63","57","12","17","8","17","8","18","62","143","97","32","44","30","39","23","42","131","87","41","19","16","14","10","3","9","24","28","24","6","2","7","4","2","2","8"
"g18","V","102","1504","318","866","43","0","18","13","0","7","0","239","741","763","42","57","15","6","10","26","7","3","0","0","0","0","1","1","3","0","0","1","0","0","0","0","0","0","2","0","0","0","1","3","1","0","0","4","9","11","15","26","61","0","5","14","19","27","50","77","0","13","29","35","47","131","192","0","10","26","30","71","131","151","0","5","11","15","25","32","42","0","5","12","21","22","26","23","0","0","6","4","9","11","8","0","4","6","7","3","12","11","110","65","14","27","15","16","9","21","41","255","170","40","57","34","45","33","51","181","107","46","15","13","8","14","7","6","23","24","27","6","9","5","2","1","2","5"
"g18","V","103","924","190","531","29","2","13","6","0","1","0","152","460","464","22","32","19","5","9","17","3","2","0","0","2","0","2","1","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","2","0","0","0","6","9","3","10","16","31","0","7","9","11","17","34","37","0","11","21","38","38","72","92","0","8","21","28","52","58","92","0","6","13","14","11","18","19","0","2","11","12","9","19","18","0","1","5","1","5","9","11","0","0","2","5","4","3","5","46","34","10","4","2","20","6","14","54","126","82","15","39","25","25","15","39","165","61","23","12","10","8","7","2","10","19","22","8","3","7","0","3","0","3","5"
"g18","V","104","597","130","341","20","0","4","5","0","2","1","94","293","304","12","16","5","1","4","11","4","2","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0","2","0","1","0","0","2","3","3","5","13","30","0","4","7","4","9","13","37","0","6","11","12","16","52","80","0","2","10","12","13","49","78","0","0","3","6","4","10","19","0","5","8","7","8","12","12","0","2","3","4","1","7","1","0","2","1","3","1","3","4","48","24","6","2","2","4","7","7","30","60","57","16","16","24","28","16","32","92","32","17","7","10","1","9","2","6","10","12","5","2","0","1","2","3","2","5"
"g18","V","105","459","101","238","15","0","3","7","0","4","0","91","218","241","11","9","4","1","4","9","1","2","0","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","4","4","2","6","19","0","1","6","7","14","13","24","0","7","7","8","18","38","40","0","3","9","6","20","33","49","0","2","5","3","5","14","14","0","3","9","5","9","12","10","0","0","7","4","1","4","5","0","0","1","1","1","2","3","28","15","5","10","3","2","6","2","30","45","39","10","17","12","10","16","17","72","25","22","6","8","2","7","3","7","11","7","7","2","3","2","3","1","2","2"
"g18","V","106","1130","235","677","25","1","15","6","0","2","0","169","557","573","34","40","14","3","6","24","6","5","0","1","1","0","0","1","0","0","0","0","0","0","0","2","2","1","0","0","0","0","1","5","1","0","0","5","8","6","20","14","48","0","5","8","11","16","46","48","0","17","22","47","42","82","139","0","8","19","40","42","99","120","0","4","8","12","12","29","20","0","5","13","12","19","19","16","0","3","0","5","2","7","5","0","2","4","2","2","8","9","52","43","10","17","9","25","7","16","56","147","119","36","49","27","48","28","62","161","56","33","10","11","10","17","2","15","15","20","12","5","2","4","0","1","0","5"
"g18","V","107","333","86","172","6","0","3","6","0","0","0","60","162","171","34","16","19","6","2","2","1","0","0","1","0","0","0","0","0","1","0","2","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","3","4","2","8","5","19","0","2","6","4","7","8","18","0","3","10","13","15","19","24","0","3","5","19","12","19","30","0","3","3","7","6","8","2","0","4","5","5","5","12","0","0","1","3","3","0","1","0","0","2","3","1","1","0","0","16","14","6","3","4","3","2","12","26","41","26","11","15","10","14","3","14","38","16","10","8","3","3","3","1","6","10","5","5","2","2","0","0","0","0","1"
"g18","V","108","928","330","332","20","4","17","4","0","4","0","217","420","508","78","31","53","11","12","16","9","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","2","4","2","1","0","12","29","14","15","18","40","0","14","26","19","33","52","58","0","7","13","11","25","42","67","0","6","16","7","13","48","77","0","7","16","20","18","19","20","0","10","25","23","25","19","15","0","4","3","7","3","6","4","0","0","4","4","3","5","6","123","77","13","13","12","12","8","17","55","90","57","13","22","11","11","12","21","95","93","47","6","17","8","11","4","13","18","22","10","0","5","1","6","1","1","3"
"g18","V","109","1280","341","661","33","0","11","7","0","2","0","225","604","676","44","47","22","5","17","31","5","1","0","2","0","0","0","0","1","0","3","0","1","0","1","1","0","0","0","0","0","0","2","6","3","0","0","9","10","12","18","20","66","0","7","12","21","23","39","104","0","13","17","40","47","68","140","0","6","24","33","61","58","154","0","4","17","17","22","19","37","0","7","12","15","13","23","39","0","3","4","5","4","7","5","0","3","4","2","5","6","5","113","57","15","20","13","25","22","20","56","150","108","40","43","32","49","45","57","137","77","51","12","20","10","12","17","8","18","26","9","3","8","1","2","2","0","2"
"g18","V","110","530","193","204","20","0","3","4","0","3","0","103","244","286","26","10","9","4","5","7","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","3","7","9","10","22","27","0","3","9","21","11","26","45","0","1","10","6","21","31","30","0","8","8","11","13","27","38","0","4","10","10","6","12","12","0","3","12","9","8","12","5","0","0","4","1","4","3","1","0","0","2","2","4","4","5","57","40","10","8","13","14","13","12","26","56","34","13","8","6","10","4","12","61","45","18","3","5","2","6","3","5","16","11","9","3","1","3","0","1","1","1"
