"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g14","V","10-1001","1637","655","579","37","2","19","11","0","13","0","321","801","836","66","20","29","2","58","30","21","6","1","0","0","0","5","12","1","0","3","5","0","1","0","0","0","0","0","0","0","0","1","0","2","0","0","13","15","30","29","76","107","0","13","24","34","58","124","132","0","9","11","16","51","75","141","0","9","6","12","27","85","137","0","12","20","20","26","48","49","0","8","17","14","32","41","34","0","1","6","5","12","10","19","0","1","3","2","5","7","11","70","79","55","81","35","55","35","35","210","38","46","18","44","28","55","35","48","267","53","49","22","52","16","31","18","21","59","13","20","5","8","5","5","2","4","20"
"g14","V","10-1003","1016","472","324","14","0","12","4","0","13","1","176","497","519","15","6","5","1","62","16","19","4","0","0","0","0","4","1","0","0","0","0","0","0","2","1","0","0","0","2","0","0","1","0","0","0","0","9","13","13","26","42","96","0","13","18","20","37","82","103","0","4","5","12","14","38","103","0","2","2","13","24","34","73","0","9","5","15","15","22","34","0","3","7","16","15","9","26","0","0","1","2","3","7","9","0","1","1","1","6","5","8","37","49","39","57","36","47","14","17","176","19","31","21","21","11","28","12","28","153","25","31","13","22","7","19","7","12","40","10","4","6","5","3","3","2","2","9"
"g14","V","10-1004","41","23","7","2","0","1","0","0","0","0","8","20","21","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","6","0","0","0","3","2","5","4","0","0","0","1","0","1","2","0","0","0","1","0","0","2","0","0","0","1","1","2","0","0","0","0","2","0","1","1","0","0","0","1","1","1","0","0","0","0","0","0","0","0","1","3","3","3","0","2","0","1","10","0","0","0","1","0","0","0","0","6","2","2","0","1","0","1","0","0","2","0","0","1","1","0","0","0","0","1"
"g14","V","10-1006","7","1","1","0","0","0","3","0","1","0","1","5","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","2"
"g14","V","10-1009","54","11","37","1","0","0","0","0","0","0","5","27","27","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","1","1","2","3","0","3","0","0","3","7","7","0","0","1","1","0","6","9","0","0","0","1","0","0","1","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","1","1","1","2","0","0","4","1","7","1","2","4","5","0","7","10","0","1","1","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0"
"g14","V","10-1010","158","38","86","5","0","0","3","0","0","0","26","76","82","8","10","6","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","1","6","10","0","0","0","1","2","5","9","0","0","2","5","11","8","13","0","4","4","6","6","12","15","0","1","1","1","2","2","5","0","1","2","0","1","6","4","0","0","1","0","0","0","3","0","1","0","0","2","1","0","1","2","1","3","3","4","4","6","14","2","6","9","13","4","13","3","9","27","6","8","0","2","0","2","1","1","6","3","0","1","0","0","0","0","2","2"
"g14","V","10-1520","401","168","151","10","0","8","3","0","0","0","61","185","216","23","5","5","0","17","3","6","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","3","1","11","21","32","0","0","9","6","10","29","42","0","1","3","6","6","18","37","0","2","3","4","10","21","40","0","2","2","2","2","11","12","0","2","4","0","2","12","10","0","0","2","0","2","4","3","0","2","2","0","1","1","4","12","12","5","18","10","10","9","17","75","7","13","7","13","8","5","8","18","72","8","8","3","10","6","7","3","5","11","6","3","3","4","2","0","0","2","1"
"g14","V","10-1560","691","286","245","11","1","5","3","0","5","1","134","317","374","8","10","5","0","44","17","9","1","0","0","0","0","2","0","0","0","2","0","2","0","3","0","1","1","1","0","0","0","2","0","0","0","0","5","2","6","19","30","60","0","3","8","20","30","37","66","0","1","2","14","13","22","62","0","1","2","9","21","24","74","0","7","1","8","13","18","25","0","0","6","3","11","18","24","0","0","0","4","1","4","0","0","0","2","4","3","4","4","29","28","28","39","21","26","13","18","84","23","33","16","20","14","29","15","17","78","21","13","19","17","12","14","2","5","31","2","5","1","6","2","1","1","4","4"
"g14","V","10-1570","732","232","334","14","1","9","5","0","6","0","131","340","392","3","8","2","0","29","18","6","4","0","4","0","0","1","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","4","12","10","28","46","0","3","3","13","19","31","58","0","2","1","7","14","32","92","0","6","6","8","10","46","110","0","5","1","3","8","15","37","0","1","1","4","9","19","28","0","0","1","1","6","3","7","0","0","0","1","3","7","6","24","24","25","32","9","13","14","9","82","23","24","24","31","16","32","16","37","131","18","22","13","20","12","11","6","9","20","4","10","5","6","1","2","0","2","5"
"g14","V","10-1580","726","229","299","17","0","12","8","0","8","0","153","362","364","7","2","4","0","38","28","22","6","0","2","1","0","2","0","0","0","3","0","2","0","0","4","1","1","0","0","0","0","1","2","1","0","0","3","4","5","15","25","53","0","4","5","7","23","30","55","0","4","3","4","17","28","88","0","0","5","5","21","36","88","0","5","6","7","13","15","41","0","7","3","4","20","16","16","0","2","1","2","4","9","8","0","1","1","0","6","4","7","15","31","15","32","16","30","9","16","65","16","22","27","20","10","27","19","16","142","20","14","14","26","16","18","2","11","32","8","7","9","1","3","2","4","4","7"
"g14","V","10-1590","765","290","326","20","1","3","1","0","4","0","120","329","436","6","4","2","1","28","16","14","2","1","0","0","0","0","0","1","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","3","0","0","1","1","7","7","24","73","0","2","7","14","20","38","96","0","3","3","9","14","19","94","0","1","2","5","16","26","134","0","2","5","7","13","12","25","0","0","2","10","9","5","30","0","1","0","2","1","3","3","0","3","0","1","1","5","9","20","34","28","34","15","29","12","14","104","26","32","30","30","15","30","4","12","147","21","17","15","10","10","16","7","7","17","6","8","3","3","1","0","2","2","4"
"g14","V","10-1630","766","419","180","13","0","7","2","0","5","5","135","367","399","21","5","2","2","42","8","4","2","0","0","1","0","1","1","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","1","0","3","9","16","25","43","71","0","5","11","28","44","71","93","0","4","5","5","11","26","49","0","2","4","6","12","14","42","0","5","6","12","13","15","27","0","3","6","8","12","19","9","0","0","2","3","5","8","4","0","0","0","0","3","4","3","39","48","30","53","16","37","15","16","165","11","19","12","11","7","12","6","12","90","21","22","15","18","12","9","6","8","24","2","4","1","4","0","4","0","7","10"
"g14","V","10-1640","533","312","113","6","0","2","2","0","6","3","89","256","277","6","2","1","0","35","15","1","5","0","0","0","0","1","0","0","0","3","0","1","0","2","0","0","0","0","0","0","0","1","4","0","0","0","4","6","9","13","41","64","0","8","7","11","23","61","65","0","2","1","2","12","10","32","0","2","1","0","7","13","31","0","2","1","8","5","14","17","0","0","4","7","6","13","12","0","0","2","2","4","2","3","0","0","0","0","2","4","0","32","26","23","34","14","30","8","15","130","6","7","9","5","1","13","3","11","58","9","22","9","7","6","3","2","10","21","4","1","4","0","0","2","1","2","5"
"g14","V","11-1010","668","345","159","16","1","5","0","0","5","0","137","297","372","98","12","25","4","13","10","6","0","3","0","0","0","1","1","1","1","0","0","1","1","1","0","1","0","0","0","0","0","1","0","0","0","0","7","10","9","19","42","53","0","5","9","13","31","59","88","0","1","3","5","11","18","31","0","1","7","4","10","26","42","0","5","11","7","15","17","19","0","3","11","10","3","21","15","0","0","2","2","3","3","4","0","1","2","2","3","4","1","44","36","28","42","19","47","10","24","95","26","13","15","19","11","20","5","8","42","26","21","14","15","11","20","4","3","23","4","5","3","4","0","0","2","1","8"
"g14","V","11-1020","812","391","225","24","0","7","6","0","8","0","151","357","455","63","18","17","5","33","10","5","2","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","1","0","0","5","13","15","17","44","65","0","8","16","23","28","57","100","0","6","5","7","14","31","41","0","1","5","7","11","23","74","0","4","9","10","14","15","20","0","4","10","11","15","20","19","0","1","4","2","5","6","4","0","1","2","1","4","7","8","46","58","39","40","13","39","9","17","130","26","12","14","19","13","28","11","20","82","29","28","22","21","5","16","3","6","21","14","12","4","7","0","0","2","2","4"
