"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g20","V","101A","513","91","324","11","0","9","2","0","1","0","75","249","264","9","21","5","0","1","13","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","5","1","0","0","0","2","4","2","5","18","0","5","10","2","6","9","28","0","16","16","25","17","44","49","0","6","10","26","19","40","56","0","6","5","10","2","7","11","0","3","6","3","7","10","5","0","1","1","0","1","2","5","0","0","1","3","1","0","8","50","17","2","1","3","0","4","0","14","165","43","32","11","16","6","5","4","42","37","15","6","2","3","4","2","0","6","9","3","7","0","1","1","1","1","0"
"g20","V","101B","2966","731","1523","114","6","30","34","0","15","2","511","1491","1475","230","162","120","33","17","43","10","2","0","0","0","0","0","1","2","0","1","1","0","0","0","1","0","0","2","1","4","2","5","10","6","0","0","34","48","46","41","64","92","0","28","57","56","57","98","110","0","48","98","122","124","185","227","0","26","98","115","115","171","194","0","32","49","62","24","43","47","0","23","51","67","39","44","30","0","12","18","21","14","24","16","0","6","20","22","17","15","16","432","77","69","11","24","9","23","11","75","846","217","118","28","46","30","32","18","188","273","118","38","10","14","7","14","4","33","140","23","11","1","4","5","0","0","17"
"g20","V","102B","472","99","289","16","0","7","5","0","0","0","56","236","236","10","14","5","1","1","12","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","5","5","8","18","0","2","2","6","8","20","19","0","5","7","14","20","41","61","0","5","14","13","19","50","40","0","2","6","4","3","8","10","0","0","1","7","4","6","5","0","0","1","4","2","4","2","0","0","2","0","1","6","6","60","6","10","2","6","2","5","2","6","140","46","17","5","14","14","10","7","36","25","11","7","2","1","0","4","1","5","16","4","6","0","0","0","0","1","1"
"g20","V","103","2807","609","1613","101","5","33","25","0","11","0","410","1402","1405","121","125","59","24","20","47","9","8","0","2","1","0","1","2","0","1","0","2","1","0","0","5","7","2","0","0","0","0","5","6","4","1","0","17","29","28","27","52","97","0","33","34","44","38","91","119","0","50","88","121","138","182","261","0","27","81","115","123","179","248","0","24","38","41","26","52","44","0","12","31","48","23","36","35","0","7","13","14","9","26","18","0","9","13","16","9","18","23","344","58","45","10","14","8","34","8","88","783","196","140","30","53","36","43","33","299","188","96","36","10","8","10","24","3","35","118","26","8","2","9","3","1","0","8"
"g20","V","104","1406","320","733","47","0","18","25","0","7","1","255","695","711","39","44","20","5","10","26","4","5","0","0","0","0","0","0","0","0","1","15","8","0","0","4","0","0","1","0","1","0","2","2","1","0","0","9","11","10","17","24","59","0","14","24","18","22","41","71","0","21","36","44","40","94","153","0","15","33","36","35","85","141","0","10","20","25","16","21","34","0","11","25","29","14","26","24","0","6","7","11","5","10","12","0","6","6","8","2","11","14","181","43","23","8","5","4","3","7","46","347","90","57","16","23","17","24","19","140","129","48","26","4","12","3","8","3","22","58","16","7","2","2","1","3","3","6"
"g20","V","105","469","147","227","13","1","3","5","0","0","0","73","230","239","66","36","26","11","3","6","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","6","5","7","9","14","16","0","9","12","13","12","19","25","0","12","18","18","21","27","26","0","7","8","25","13","19","33","0","4","4","9","7","8","5","0","5","5","7","7","9","3","0","4","2","5","1","1","1","0","1","3","3","1","0","0","86","7","11","4","2","3","2","2","30","117","31","19","7","9","4","10","3","27","37","11","7","2","2","1","4","1","8","14","2","3","1","1","0","0","0","1"
"g20","V","106","2562","957","907","87","9","32","27","0","11","1","531","1197","1365","237","103","120","25","36","35","21","5","1","1","3","0","1","0","0","0","0","0","1","0","9","1","4","2","6","1","4","0","4","6","2","1","0","46","78","40","59","71","101","0","57","96","75","73","106","155","0","23","52","51","74","111","142","0","9","60","40","72","123","150","0","40","41","50","40","45","46","0","36","49","56","47","34","47","0","17","13","20","13","16","8","0","4","15","17","10","17","17","579","126","71","18","18","20","29","13","83","473","99","72","25","24","16","17","22","159","289","93","52","9","18","8","15","5","42","114","22","10","5","5","3","0","2","6"
"g20","V","107","1024","293","501","35","0","5","11","0","2","1","176","463","561","31","24","21","7","11","25","5","0","0","2","1","0","0","0","0","1","2","0","0","0","1","2","0","0","0","0","1","0","1","3","0","0","0","4","18","15","14","13","45","0","11","24","18","24","28","79","0","14","19","31","34","36","112","0","10","19","28","46","30","122","0","11","10","21","13","9","18","0","8","15","15","12","13","31","0","1","6","2","3","7","7","0","4","5","2","3","7","7","192","38","12","5","4","2","13","12","15","269","68","34","11","10","9","13","26","61","93","29","19","4","9","2","5","6","9","43","3","0","2","1","1","2","1","1"
"g20","V","108","1924","565","889","65","6","19","21","0","4","0","355","969","955","142","85","78","21","18","29","10","3","1","2","0","0","1","3","2","1","0","0","0","0","1","1","3","2","0","2","3","1","6","8","1","1","0","24","35","32","40","41","76","0","24","32","49","48","64","100","0","40","47","60","90","110","115","0","21","44","64","98","91","109","0","25","31","32","42","26","34","0","21","35","27","30","31","21","0","7","8","19","15","11","9","0","2","10","13","8","8","5","276","100","44","9","16","17","24","7","72","490","99","52","24","34","24","31","14","121","167","84","38","11","11","8","9","7","20","76","11","10","2","5","4","1","1","5"
"g20","V","109","2732","925","1149","105","3","29","30","0","10","1","480","1298","1434","163","114","97","19","29","38","12","5","2","4","0","0","5","0","0","0","1","0","0","0","2","1","2","2","0","1","0","0","11","12","13","3","0","36","53","54","49","62","124","0","43","66","69","56","102","211","0","38","63","79","94","124","174","0","17","49","76","79","137","219","0","28","53","52","35","30","46","0","31","45","49","40","23","48","0","13","24","16","16","17","18","0","6","12","13","12","11","20","552","111","42","16","13","24","30","14","123","584","137","92","16","50","33","21","26","190","260","94","37","16","13","8","15","5","32","102","30","13","3","8","4","1","1","16"
"g20","V","110","2433","792","1026","99","4","30","28","0","8","0","446","1174","1259","157","98","77","17","33","34","11","5","0","0","0","0","2","2","0","0","2","5","3","2","1","0","0","0","2","2","0","0","9","6","3","1","0","35","46","44","27","54","117","0","41","56","65","47","103","157","0","38","67","85","99","95","157","0","22","51","57","95","106","154","0","27","31","48","35","32","52","0","11","51","45","32","43","39","0","5","13","23","13","13","18","0","6","17","18","10","13","20","442","99","53","15","16","18","24","11","114","525","115","66","17","48","21","31","24","179","186","98","49","8","21","13","17","13","41","110","22","8","4","7","3","5","1","9"
"g20","V","111A","1664","587","677","61","6","25","15","0","14","0","279","789","875","92","53","44","12","27","36","7","8","0","0","2","0","3","2","1","1","2","2","2","0","4","1","3","0","1","1","1","1","5","3","1","2","0","18","39","38","28","38","75","0","38","49","53","50","85","76","0","26","39","47","64","73","102","0","12","38","44","54","65","113","0","22","17","26","19","21","29","0","14","24","37","24","26","20","0","8","9","16","9","13","13","0","8","11","8","8","10","8","327","86","56","6","13","9","14","9","67","355","78","48","13","23","12","21","6","121","138","53","24","9","10","7","13","4","21","82","15","12","3","1","3","3","1","1"
"g20","V","111B","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"g20","V","112","3291","1088","1402","118","13","36","40","0","8","0","586","1509","1782","313","141","135","46","33","47","16","5","0","0","0","0","3","4","0","1","0","8","2","0","2","4","2","0","7","3","3","1","7","4","8","1","0","44","62","48","47","80","158","0","61","77","71","81","124","235","0","39","65","95","106","133","246","0","24","55","76","113","152","298","0","39","54","56","40","44","58","0","32","52","57","39","45","70","0","10","23","11","17","10","24","0","9","20","27","13","25","26","623","134","78","17","28","23","37","15","133","751","165","117","24","45","29","49","28","194","287","119","61","10","27","12","21","10","39","153","23","18","7","4","2","3","1","4"
"g20","V","113","669","186","334","23","1","7","8","0","1","1","108","329","340","14","12","5","1","4","33","7","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","5","7","10","8","13","30","0","10","17","11","19","16","40","0","9","17","15","21","33","75","0","8","6","11","20","44","75","0","4","6","8","8","12","22","0","3","4","5","7","9","20","0","2","6","3","2","6","7","0","1","2","2","0","6","4","90","24","17","4","5","2","11","5","28","145","31","20","8","9","9","11","7","94","47","27","13","2","5","0","3","1","10","28","4","1","1","1","1","0","0","5"
"g20","V","114","2756","822","1279","89","3","25","29","0","8","0","501","1341","1415","114","102","43","17","42","42","18","5","1","2","2","0","4","0","2","0","8","2","0","0","0","7","2","1","0","1","1","0","5","4","3","1","0","38","37","50","53","53","110","0","40","45","77","76","109","134","0","69","60","96","104","157","185","0","33","48","74","121","150","182","0","42","33","41","39","46","49","0","40","31","47","41","54","38","0","10","17","10","13","20","9","0","6","9","17","14","19","10","444","100","67","22","18","15","30","14","112","636","147","79","22","44","37","38","25","251","244","99","44","10","20","12","21","9","42","98","24","9","5","3","3","4","2","6"
"g20","V","115","1800","573","758","77","1","12","22","0","12","0","345","858","942","88","67","42","15","24","28","12","6","0","0","2","0","2","1","1","0","3","2","0","0","4","0","1","0","1","5","0","0","2","6","1","1","0","19","42","47","36","29","58","0","27","50","69","42","73","81","0","21","53","77","61","77","92","0","25","45","69","62","84","92","0","16","38","41","32","29","17","0","18","33","40","30","24","27","0","10","18","14","12","12","7","0","6","7","11","10","5","12","328","80","39","7","24","13","17","3","62","419","80","66","19","24","14","25","11","100","180","63","40","12","10","6","9","5","20","81","19","10","2","5","2","1","0","4"
"g20","V","201","1966","975","557","55","4","19","16","0","7","0","333","914","1052","94","26","26","9","53","21","12","1","0","0","1","0","1","1","1","0","4","1","1","0","7","1","1","0","0","1","1","0","4","2","1","3","0","16","22","27","27","73","241","0","31","25","33","39","121","320","0","2","9","8","19","57","186","0","5","10","6","22","53","180","0","18","13","16","12","28","85","0","10","10","14","18","38","71","0","3","4","2","5","14","27","0","3","2","3","5","16","17","511","123","61","24","35","24","32","20","145","229","63","53","14","11","12","20","16","139","132","68","25","15","14","11","19","9","40","56","13","5","6","8","4","2","3","4"
"g20","V","202","2161","1084","571","63","2","32","21","0","22","0","366","991","1170","92","18","32","12","63","24","17","3","0","0","1","0","7","0","0","0","7","1","0","0","0","0","1","0","0","1","0","0","7","2","3","1","0","19","25","24","21","82","277","0","25","30","22","50","140","369","0","11","5","5","23","62","175","0","7","5","8","23","75","172","0","14","11","18","17","36","100","0","11","16","8","20","37","78","0","7","7","5","5","15","27","0","4","8","10","4","15","33","525","143","66","35","48","25","32","20","190","252","73","45","22","19","17","16","8","119","142","85","38","18","12","2","16","11","42","69","23","11","10","4","2","6","0","15"
"g20","V","203A","450","173","151","10","0","6","6","0","8","0","96","227","223","40","15","14","2","13","2","4","0","0","0","0","0","1","0","1","0","0","1","1","0","2","0","7","1","0","0","1","0","1","0","0","0","0","7","6","7","9","18","31","0","2","10","8","8","19","48","0","2","7","14","10","17","34","0","2","4","11","5","11","34","0","11","6","2","6","4","22","0","2","6","6","6","11","14","0","1","4","2","1","3","3","0","0","4","1","3","3","5","89","24","20","0","4","0","3","7","26","67","21","11","3","4","5","1","2","37","43","22","10","1","3","1","2","1","13","18","2","1","3","1","0","1","0","4"
"g20","V","203B","17","6","8","0","0","0","1","0","0","0","2","9","8","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","0","0","2","0","0","1","0","0","1","4","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","1","0","1","0","0","0","0","3","1","0","0","0","1","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"g20","V","204A","224","85","75","9","0","3","4","0","6","0","42","118","106","3","5","4","3","2","2","3","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","3","2","8","23","0","3","3","6","7","8","15","0","3","4","4","5","13","13","0","1","3","2","4","10","13","0","0","2","7","6","4","5","0","0","4","3","6","2","3","0","1","0","0","1","2","5","0","2","0","2","0","5","4","44","11","4","0","3","2","5","2","14","41","6","7","1","1","1","0","3","15","18","8","0","0","1","1","2","3","9","12","3","1","0","1","2","0","1","2"
"g20","V","204B","30","5","16","1","0","0","0","0","0","0","8","17","13","1","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","2","0","0","2","2","2","0","4","0","0","0","0","0","1","5","0","0","0","0","0","1","4","0","0","0","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","1","0","1","3","4","0","0","1","2","1","2","3","2","2","0","0","3","0","0","0","1","1","0","0","0","0","0","0","0","0"
"g20","V","205","1842","764","635","57","7","20","16","1","15","0","327","859","983","49","22","17","11","32","7","13","2","0","1","0","1","8","4","1","0","1","0","0","0","6","3","2","0","0","2","2","0","12","4","2","0","0","22","32","27","30","59","132","0","15","40","44","52","95","216","0","16","28","19","24","78","163","0","11","12","16","31","67","170","0","17","19","24","27","29","62","0","6","20","21","21","29","52","0","4","2","10","12","8","15","0","7","7","9","13","15","14","409","84","57","18","24","19","12","13","128","303","79","56","13","25","17","15","12","115","153","72","29","8","12","6","13","7","27","75","17","3","4","5","0","1","2","9"
