"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g12","V","10-151","802","301","305","15","2","9","3","0","10","0","157","409","393","49","14","24","3","14","15","8","3","1","0","0","0","2","13","1","0","2","3","0","1","0","0","0","0","0","0","0","0","2","0","2","0","0","4","19","19","19","43","28","0","18","23","14","31","48","35","0","8","9","10","28","37","67","0","8","8","14","17","37","62","0","7","8","8","26","25","22","0","11","5","6","11","16","12","0","0","6","3","1","4","8","0","3","1","3","3","2","5","53","29","51","24","36","18","11","10","69","26","11","38","15","24","17","26","20","128","29","13","34","9","20","6","10","9","27","9","4","6","5","3","0","2","3","7"
"g12","V","10-152","849","323","331","23","2","9","4","0","5","1","151","393","456","48","11","20","3","31","8","11","4","1","0","0","0","4","4","0","1","1","1","0","0","0","0","0","0","0","0","0","0","3","0","0","1","0","12","11","18","19","32","46","0","7","20","23","27","50","58","0","3","14","14","23","44","62","0","5","11","18","25","45","67","0","4","12","9","14","16","19","0","9","12","13","11","20","12","0","1","2","2","2","7","7","0","6","2","3","4","3","5","48","22","54","16","23","10","27","8","115","27","23","31","17","29","20","27","17","140","29","13","34","15","19","7","9","5","20","7","9","9","2","4","2","3","2","6"
"g12","V","10-153","1130","453","360","39","2","21","5","0","10","1","239","531","599","33","9","14","6","40","22","19","4","0","0","0","0","2","1","1","0","1","3","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","9","11","17","26","59","66","0","11","17","21","53","82","81","0","8","11","14","21","49","78","0","8","10","12","32","55","62","0","9","24","14","15","27","30","0","9","23","12","24","34","18","0","3","7","5","11","7","10","0","4","4","5","7","9","6","66","42","68","32","41","24","27","15","138","51","25","28","21","38","21","35","22","119","74","30","30","18","19","11","17","8","32","18","8","15","5","8","3","4","2","15"
"g12","V","10-156","968","384","338","19","1","9","2","0","9","2","204","441","527","13","11","10","2","52","25","17","1","0","0","0","0","2","0","0","0","3","0","3","0","4","0","1","1","1","0","0","0","2","1","0","0","0","8","10","14","23","43","61","0","8","18","27","49","47","76","0","0","8","20","21","31","81","0","3","7","26","24","30","87","0","6","11","12","21","22","31","0","6","12","8","22","21","32","0","0","4","4","6","3","1","0","1","4","3","3","9","4","57","33","65","29","44","16","25","13","102","54","29","38","16","39","23","25","13","101","43","34","30","17","26","3","7","7","37","14","1","9","4","3","1","4","1","5"
"g12","V","10-157","968","305","440","19","0","9","6","0","5","0","184","426","542","11","8","3","1","32","20","9","4","2","5","0","0","1","2","0","0","0","1","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","7","8","11","16","40","46","0","9","9","21","40","50","48","0","4","5","12","26","35","113","0","9","8","11","27","59","131","0","6","4","6","10","20","35","0","8","8","15","19","27","26","0","3","0","4","4","6","5","0","0","1","1","4","7","4","48","39","46","14","23","18","18","14","85","46","33","42","18","52","16","48","28","157","47","20","36","13","19","11","9","6","23","11","9","8","2","1","0","3","1","4"
"g12","V","10-158","924","304","374","20","0","12","8","0","9","0","197","430","494","14","4","2","0","52","33","30","8","0","2","1","0","2","1","0","0","3","0","2","0","0","4","2","2","0","0","0","0","1","2","1","0","0","4","9","5","20","29","57","0","13","9","15","34","46","63","0","4","3","10","25","35","99","0","3","9","12","32","39","103","0","8","9","9","22","27","34","0","7","7","9","30","19","16","0","4","0","1","7","4","5","0","1","1","1","9","6","10","58","23","56","21","33","11","20","11","71","26","26","30","19","37","23","23","30","160","30","19","38","22","24","5","15","10","34","11","13","4","2","1","4","5","4","5"
"g12","V","10-159","946","364","383","18","2","6","5","0","4","0","164","420","526","8","4","2","1","37","18","18","2","2","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","2","0","0","0","1","1","4","0","0","5","13","11","16","35","72","0","4","15","23","29","47","94","0","7","2","11","25","17","99","0","6","3","13","31","21","148","0","6","10","14","19","16","25","0","3","7","14","12","8","30","0","3","1","2","7","3","1","0","0","1","1","2","7","7","54","38","51","16","46","17","18","22","102","45","36","41","20","45","11","15","20","150","31","22","17","19","30","10","9","6","20","13","2","6","2","1","1","5","0","5"
"g12","V","10-161","607","268","219","10","0","3","3","0","3","0","101","298","309","10","4","3","1","41","8","12","0","0","1","0","0","0","0","0","0","0","1","1","0","2","1","0","0","0","0","0","0","1","0","0","0","0","10","5","9","17","27","43","0","9","5","14","28","45","56","0","5","2","11","18","22","66","0","0","1","12","15","16","51","0","6","2","3","8","13","22","0","2","3","9","15","7","11","0","2","0","2","1","0","4","0","1","1","2","2","2","2","43","29","34","17","33","13","14","11","74","29","15","14","10","29","5","17","17","83","22","10","16","5","6","3","9","6","24","2","5","2","3","1","1","0","1","4"
"g12","V","10-162","685","323","192","8","0","6","3","0","10","3","140","330","355","7","8","4","2","33","9","11","3","2","0","0","0","2","2","1","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","8","12","21","39","43","0","16","16","21","27","66","43","0","11","5","4","14","27","39","0","12","1","7","22","21","29","0","13","7","10","18","14","17","0","4","12","8","11","13","13","0","2","0","1","4","8","2","0","4","1","0","3","2","3","51","26","46","25","33","5","18","9","110","35","11","12","4","19","9","14","16","72","34","13","20","7","23","6","9","2","26","7","4","6","1","0","2","2","2","6"
"g12","V","10-163","1033","549","239","23","0","10","3","0","9","6","194","490","543","38","5","7","5","55","15","10","2","0","0","1","0","1","1","1","0","2","0","2","2","0","0","0","0","1","0","0","0","0","1","0","1","0","12","19","25","30","60","75","0","13","23","43","64","95","90","0","8","7","12","23","33","45","0","4","8","10","21","18","50","0","5","14","21","20","21","28","0","5","15","15","21","18","11","0","1","4","4","8","8","7","0","0","3","2","4","6","4","96","41","75","33","53","20","26","21","184","28","22","17","12","18","9","14","8","111","45","26","26","17","20","10","15","7","28","6","4","9","2","7","1","8","2","12"
