"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","USSDEM01","USSREP01","CNGDEM01","CNGDEM02","CNGIND01","CNGREP01","CNGREP02","SENDEM01","SENDEM02","SENREP01","SENPAF01","ASSDEM01","ASSDEM02","ASSIND01","ASSPAF01","ASSREP01","ASSREP02","PR_30_N","PR_30_Y","PR_31_N","PR_31_Y","PR_32_N","PR_32_Y","PR_33_N","PR_33_Y","PR_34_N","PR_34_Y","PR_35_N","PR_35_Y","PR_36_N","PR_36_Y","PR_37_N","PR_37_Y","PR_38_N","PR_38_Y","PR_39_N","PR_39_Y","PR_40_N","PR_40_Y"
"40","101","35","24","17","2","1646","0","0","0","0","0","0","0","0","0","1232","0","0","0","0","0","0","0","0","0","0","0","6","408","7","9","3","776","402","810","397","0","0","796","0","367","0","808","0","316","0","0","0","855","0","728","467","613","525","494","687","588","568","842","337","237","948","491","686","769","413","907","263","658","496","321","809"
"40","102","35","24","17","2","1311","0","0","0","0","0","0","0","0","0","1030","0","0","0","0","0","0","0","0","0","0","0","7","259","6","10","3","734","278","724","287","0","0","712","0","258","0","722","0","228","0","0","0","753","0","673","329","482","452","372","619","489","491","703","291","195","796","419","561","684","308","823","164","600","378","252","675"
"40","103","35","24","17","2","1304","0","0","0","0","0","0","0","0","0","1050","0","0","0","0","0","0","0","0","0","0","0","0","295","1","13","5","718","292","729","296","0","0","718","0","271","0","708","0","230","0","0","0","769","0","647","373","504","478","414","603","511","490","795","221","223","792","468","541","664","351","797","220","602","403","298","678"
"40","104","35","24","17","2","1466","0","0","0","0","0","0","0","0","0","1255","0","0","0","0","0","0","0","0","0","0","0","2","342","12","7","10","837","363","835","360","0","0","828","0","330","0","824","0","275","0","0","0","890","0","805","396","583","557","415","775","581","582","853","333","249","947","525","657","842","351","979","210","734","444","293","852"
"40","105","35","24","17","2","668","0","0","0","0","0","0","0","0","0","558","0","0","0","0","0","0","0","0","0","0","0","1","184","6","10","1","346","196","352","190","0","0","345","0","179","0","341","0","148","0","0","0","384","0","325","222","264","239","207","324","243","268","356","171","93","440","212","324","323","220","432","98","295","234","125","380"
"40","106","35","24","17","2","1302","0","0","0","0","0","0","0","0","0","1069","0","0","0","0","0","0","0","0","0","0","0","4","293","7","13","2","736","306","735","295","0","0","730","0","271","0","734","0","232","0","0","0","781","0","657","378","519","481","380","648","524","483","731","302","219","809","478","553","693","343","863","164","610","401","251","731"
"40","107","35","24","17","2","533","0","0","0","0","0","0","0","0","0","413","0","0","0","0","0","0","0","0","0","0","0","6","138","9","6","5","244","150","250","127","0","0","266","0","128","0","256","0","118","0","0","0","274","0","217","182","224","163","177","224","198","191","279","117","73","323","169","230","284","117","283","111","211","181","137","244"
"40","108","35","24","17","2","1482","0","0","0","0","0","0","0","0","0","1139","0","0","0","0","0","0","0","0","0","0","0","0","489","1","9","5","623","483","634","471","0","0","622","0","430","0","645","0","369","0","0","0","701","0","581","526","526","508","491","589","542","539","677","410","165","915","400","681","692","402","816","257","498","575","250","775"
"40","109","35","24","17","2","1340","0","0","0","0","0","0","0","0","0","1015","0","0","0","0","0","0","0","0","0","0","0","5","482","10","10","7","483","498","488","485","0","0","490","0","442","0","500","0","383","0","0","0","551","0","452","523","527","358","473","477","515","424","544","413","179","771","310","633","527","435","670","263","391","541","229","650"
"40","110","35","24","17","2","1086","0","0","0","0","0","0","0","0","0","800","0","0","0","0","0","0","0","0","0","0","0","2","344","4","12","4","416","348","424","360","0","0","405","0","336","0","407","0","287","0","0","0","457","0","402","376","377","335","350","409","389","356","475","289","156","603","251","514","459","316","552","194","348","395","196","521"
