"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g14","R","101","1509","361","716","62","9","16","4","0","15","0","326","739","770","99","66","79","12","6","17","10","5","0","0","0","0","2","0","1","0","0","2","1","0","0","0","1","0","0","0","1","0","1","3","3","1","0","6","19","16","30","33","41","0","12","31","23","49","54","47","0","30","42","48","70","87","90","0","16","55","47","70","76","85","0","23","41","21","31","32","21","0","17","42","13","29","35","21","0","4","8","11","13","14","8","0","3","12","4","12","12","5","34","59","29","51","21","53","6","20","88","71","123","71","83","49","84","33","48","154","58","74","44","43","22","38","8","9","30","24","16","8","14","10","4","5","8","17"
"g14","R","102","1635","317","909","56","2","29","15","0","5","0","302","816","819","47","71","23","6","6","27","4","2","0","2","0","0","0","1","3","0","0","0","0","0","0","0","0","0","1","0","1","1","3","2","1","0","0","3","12","7","19","41","60","0","6","18","8","29","42","72","0","12","44","41","90","113","173","0","16","38","39","93","116","134","0","13","26","22","17","31","34","0","16","24","29","39","30","21","0","3","9","10","8","18","10","0","1","6","11","12","11","8","29","52","36","38","21","37","16","19","69","88","153","83","99","58","122","33","58","215","56","69","42","40","14","30","7","19","25","30","24","11","12","6","5","4","4","11"
"g14","R","103","1223","279","645","49","4","12","11","0","6","0","217","634","589","43","50","31","9","14","15","5","5","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","5","17","10","21","38","39","0","7","10","16","28","44","44","0","19","34","42","64","93","88","0","9","27","40","60","81","88","0","13","25","22","22","23","13","0","8","27","17","19","18","10","0","3","13","4","6","10","10","0","5","7","2","10","7","5","23","29","11","38","20","32","10","18","98","34","100","57","44","44","67","51","38","210","21","49","24","38","20","20","6","4","35","15","25","9","9","0","5","2","5","12"
"g14","R","104","632","145","317","24","0","4","5","0","6","0","131","314","318","16","6","7","3","6","10","3","1","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","2","0","0","0","0","1","0","0","0","2","8","5","3","15","24","0","3","6","11","12","24","32","0","12","16","8","28","40","53","0","8","9","11","38","42","52","0","5","14","15","12","16","11","0","8","8","7","12","15","8","0","4","3","7","5","4","4","0","2","3","2","3","1","1","11","25","10","11","9","16","6","8","49","28","45","24","22","25","35","12","20","106","19","19","18","23","9","17","4","6","16","6","13","2","5","1","4","1","0","7"
"g14","R","105","757","144","422","25","1","12","5","0","3","0","145","392","365","22","22","13","3","3","20","5","1","0","0","0","0","0","0","0","0","0","4","0","0","0","2","0","0","0","0","0","0","1","0","1","0","0","1","4","2","11","15","33","0","1","8","5","7","31","26","0","8","21","16","38","64","79","0","5","13","13","31","70","64","0","11","9","13","8","17","16","0","4","11","14","16","15","11","0","2","5","0","5","6","8","0","0","3","3","5","4","5","12","14","7","20","20","14","7","12","38","35","58","39","41","36","55","15","19","124","32","27","10","21","11","16","6","9","13","8","3","5","7","7","4","1","2","9"
"g14","R","106","1255","260","717","31","3","13","5","0","3","0","223","624","631","47","45","27","2","12","25","11","6","0","1","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","4","0","0","0","7","14","15","20","23","49","0","4","16","16","29","34","33","0","18","36","37","66","98","112","0","12","34","39","67","102","96","0","4","16","9","22","26","26","0","13","22","18","24","26","17","0","3","5","5","7","1","5","0","2","6","3","4","8","6","34","31","11","51","14","27","14","11","67","58","110","62","56","55","94","39","39","204","28","41","23","49","11","34","9","9","19","14","10","9","6","3","4","3","2","4"
"g14","R","107","505","148","223","18","2","4","2","0","1","0","107","242","263","57","27","35","11","2","8","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","1","0","0","0","0","3","5","8","8","23","18","0","3","10","11","21","18","20","0","7","15","18","25","18","27","0","8","15","19","16","30","25","0","10","11","8","12","8","4","0","11","11","13","9","9","1","0","4","1","3","2","3","1","0","5","4","1","1","1","1","18","17","15","9","14","27","4","13","31","29","42","24","23","7","25","8","9","56","22","22","16","14","8","10","1","4","10","4","11","5","2","1","0","1","1","2"
"g14","R","108","1335","380","602","38","2","15","7","0","3","0","288","596","739","92","39","77","6","17","31","10","1","0","3","0","0","0","0","1","0","1","0","1","0","4","1","2","0","0","0","0","0","1","2","0","1","0","8","18","14","22","24","58","0","6","20","37","37","44","92","0","6","30","41","35","53","119","0","10","30","39","38","53","148","0","15","23","26","25","19","27","0","17","36","31","22","23","24","0","4","7","4","4","7","7","0","4","5","1","5","8","9","48","57","32","53","59","43","18","27","43","71","97","52","69","70","75","38","28","102","53","76","27","44","29","34","9","9","7","17","19","12","6","4","3","1","2","1"
"g14","R","109","1415","467","538","53","2","17","15","0","10","0","313","669","746","90","39","48","14","15","9","6","3","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","0","1","2","2","1","0","11","36","24","35","42","49","0","9","44","26","44","66","81","0","16","34","31","37","69","78","0","10","33","27","42","75","86","0","16","45","28","28","21","17","0","14","47","24","36","24","13","0","5","10","13","12","8","4","0","4","11","8","8","7","7","68","83","41","69","39","41","12","19","95","55","78","53","59","27","54","18","40","154","57","79","26","37","20","35","12","9","38","23","21","12","13","7","4","5","2","10"
"g14","R","110","751","208","299","26","2","16","10","0","10","0","180","345","406","31","15","33","14","7","13","3","3","0","1","0","0","1","1","0","0","1","0","1","0","2","2","0","0","1","1","0","0","1","0","0","0","0","8","10","8","10","23","26","0","5","13","23","14","33","35","0","4","15","10","25","42","44","0","4","13","21","27","50","44","0","10","23","9","23","8","14","0","11","21","13","21","20","7","0","4","10","3","3","7","6","0","0","13","2","6","6","4","28","35","25","20","14","21","11","12","42","39","45","33","21","19","31","14","13","84","37","42","33","20","10","13","3","8","14","17","14","10","7","1","1","3","2","9"
