"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g12","R","101","1568","396","750","65","9","23","10","0","12","0","303","772","796","96","65","69","18","6","14","7","5","0","0","0","0","2","0","1","0","0","2","0","0","1","0","1","0","0","0","1","0","1","3","2","0","0","11","21","18","38","38","43","0","9","33","26","51","54","54","0","24","49","52","86","89","89","0","22","51","48","84","78","78","0","25","35","19","29","21","18","0","21","37","20","33","29","16","0","5","12","12","15","14","9","0","6","11","6","13","11","5","45","39","80","20","71","13","23","22","83","107","92","101","68","109","40","54","35","144","70","52","49","30","43","11","14","6","28","32","11","18","8","9","7","9","4","21"
"g12","R","102","1237","275","683","41","1","27","7","0","7","0","196","619","618","31","45","13","7","8","19","2","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","5","11","11","22","33","46","0","6","9","9","26","43","54","0","11","34","29","75","83","118","0","16","31","29","84","83","90","0","11","18","8","23","17","21","0","10","19","20","24","12","13","0","3","2","8","7","14","9","0","4","7","9","9","7","4","31","37","34","19","39","16","19","19","61","89","63","82","44","124","35","62","30","154","50","32","36","14","21","6","14","11","12","21","16","18","5","6","2","3","2","10"
"g12","R","103","1245","276","681","49","5","13","9","0","5","0","207","641","604","42","43","28","10","13","18","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","7","14","6","29","37","33","0","7","11","16","33","45","38","0","19","35","46","70","96","87","0","14","37","46","68","86","77","0","14","26","20","23","16","12","0","9","26","10","28","19","4","0","4","10","5","11","14","7","0","4","3","4","8","5","6","21","17","44","22","35","11","20","16","90","70","80","63","50","79","58","48","34","199","32","30","39","24","30","7","6","13","26","17","15","13","2","7","4","5","4","14"
"g12","R","104","1403","299","786","36","3","19","13","0","4","0","243","698","705","35","36","19","4","4","29","9","2","0","2","0","0","0","1","1","0","0","4","0","0","0","2","0","0","2","0","1","1","0","4","1","0","0","2","5","8","19","40","51","0","4","11","10","29","58","62","0","25","34","32","72","119","136","0","14","35","32","67","118","102","0","13","22","16","15","26","26","0","13","24","21","21","29","17","0","4","4","3","9","9","8","0","3","3","5","8","11","8","33","31","40","33","31","18","21","12","80","105","98","103","72","98","28","49","43","190","50","40","44","20","34","10","15","9","21","11","13","11","10","9","3","5","3","10"
"g12","R","105","644","149","338","20","0","5","5","0","6","0","121","317","327","14","11","6","3","8","14","4","1","0","0","0","0","0","0","0","0","0","3","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","4","7","7","6","15","23","0","3","7","13","12","23","29","0","18","10","12","31","44","49","0","9","5","18","40","44","58","0","6","12","10","15","16","8","0","9","7","7","14","10","7","0","3","4","5","5","4","3","0","2","4","0","4","2","0","19","14","21","7","17","7","9","5","50","41","33","30","31","37","15","25","11","115","21","20","22","9","19","4","9","1","16","12","5","6","1","5","1","0","0","6"
"g12","R","106","1230","264","712","26","3","12","3","0","4","0","206","607","623","45","38","21","5","11","32","16","2","0","1","0","0","0","0","1","0","0","0","0","0","0","1","4","0","0","1","0","0","0","4","0","0","0","7","11","10","22","28","43","0","4","17","16","35","33","38","0","20","28","37","76","96","105","0","13","33","42","71","105","86","0","7","22","10","23","20","20","0","13","15","18","31","18","9","0","4","7","2","5","2","2","0","4","6","5","2","8","1","29","22","58","20","31","16","12","19","57","71","70","76","66","109","45","44","41","190","35","27","52","13","38","9","13","5","14","10","14","9","3","4","2","2","1","3"
"g12","R","107","515","146","234","16","1","4","3","0","2","0","109","257","258","58","25","33","9","2","8","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","3","4","8","17","18","18","0","2","11","8","20","20","17","0","7","15","20","28","20","27","0","10","17","16","24","26","24","0","11","8","10","13","10","4","0","11","12","13","10","6","1","0","4","3","3","2","0","4","0","2","2","1","4","0","1","10","20","13","14","27","5","17","5","35","39","27","32","12","35","9","14","7","59","28","18","21","10","13","4","3","8","4","7","4","4","3","3","1","2","2","0"
"g12","R","108","1396","427","631","27","2","19","5","0","5","0","280","632","764","95","46","76","8","20","23","6","0","0","3","0","0","0","0","0","0","2","0","1","0","4","1","2","0","0","1","0","0","2","1","0","2","0","9","21","18","29","33","59","0","10","25","38","40","50","95","0","13","40","39","36","62","116","0","10","38","47","42","59","129","0","17","25","18","21","23","24","0","20","32","35","17","29","19","0","3","6","5","5","6","4","0","6","4","1","6","7","5","59","42","78","70","65","22","37","8","46","101","65","89","85","101","46","34","22","88","59","49","62","32","42","10","13","5","8","13","16","12","6","4","1","5","0","1"
"g12","R","109","1239","407","479","43","2","15","14","0","9","0","270","569","670","85","35","41","16","10","7","9","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","2","0","3","1","2","1","0","12","29","20","28","33","39","0","18","28","28","56","56","60","0","11","34","31","33","63","59","0","11","35","27","42","57","76","0","16","27","32","22","20","17","0","18","41","23","25","20","9","0","2","17","12","7","4","1","0","10","7","5","8","5","5","60","45","85","39","41","12","23","12","90","49","62","71","26","54","18","46","5","148","71","33","48","24","34","11","8","13","28","17","17","16","10","7","2","3","3","8"
"g12","R","110","993","279","411","38","1","25","11","0","13","0","215","468","525","30","21","27","13","8","20","5","6","0","1","0","0","2","1","0","0","1","0","4","0","2","1","0","0","0","0","1","0","2","1","0","0","0","6","13","11","15","37","29","0","8","21","25","26","48","40","0","10","21","22","42","54","56","0","11","19","28","33","54","61","0","15","25","14","25","15","8","0","12","33","7","32","22","7","0","5","11","7","7","14","6","0","2","16","4","7","5","4","38","37","35","29","36","15","20","14","55","63","52","40","33","57","17","21","20","108","60","47","31","14","25","6","11","6","15","17","25","18","5","3","6","2","1","11"
