"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g12","R","10-151","957","363","338","22","2","14","4","0","13","0","201","504","453","59","16","32","7","15","15","11","4","1","0","0","0","2","15","1","0","2","3","0","1","0","0","0","0","0","0","0","0","2","0","2","0","0","16","25","25","23","49","33","0","22","27","18","33","54","38","0","11","14","13","30","38","71","0","11","10","16","19","40","65","0","17","16","9","29","28","25","0","16","7","11","13","17","13","0","3","9","3","2","5","10","0","6","2","4","3","2","6","63","36","68","29","43","20","15","10","79","30","14","44","18","31","17","29","20","135","42","14","49","14","25","7","13","9","28","12","6","9","8","4","1","3","4","8"
"g12","R","10-152","995","367","378","31","2","9","5","0","5","1","197","476","519","58","11","30","4","38","9","14","6","1","0","0","0","4","5","1","1","1","1","1","0","0","0","0","0","0","0","0","0","3","0","0","2","0","16","16","19","21","37","50","0","13","25","24","29","52","65","0","7","20","17","29","47","68","0","6","12","24","27","48","73","0","8","23","13","20","17","21","0","13","17","16","13","21","15","0","4","2","3","2","9","7","0","7","3","3","4","3","6","56","25","68","19","26","11","27","9","126","33","29","40","21","36","23","28","17","151","35","28","45","19","23","8","9","6","24","9","12","11","4","4","2","3","2","6"
"g12","R","10-153","1342","528","404","49","2","22","9","0","12","1","315","646","696","37","12","18","7","46","22","22","5","0","0","0","0","2","1","2","0","1","3","2","0","1","1","0","0","0","3","1","0","0","1","0","0","0","15","21","21","29","65","73","0","16","27","26","60","90","85","0","15","15","16","25","54","80","0","12","14","15","36","55","67","0","16","38","22","25","31","31","0","14","35","12","26","41","24","0","6","9","6","14","8","11","0","4","7","6","7","11","6","81","50","82","40","51","26","34","16","148","56","33","35","23","44","22","38","26","127","93","42","44","23","29","13","21","11","39","22","11","20","5","9","3","5","3","17"
"g12","R","10-156","1132","440","377","27","1","9","2","0","13","2","261","531","601","18","13","10","2","58","27","20","1","0","0","0","0","2","0","0","0","3","0","3","0","4","0","1","1","1","0","0","0","2","2","1","0","0","15","12","17","26","50","68","0","16","24","31","50","52","79","0","4","11","23","24","37","82","0","4","8","28","30","33","93","0","14","23","16","26","25","34","0","7","16","13","30","23","34","0","2","5","6","7","3","1","0","2","6","3","6","9","4","68","41","82","33","49","17","25","13","112","65","37","42","19","41","25","27","14","107","55","46","44","20","35","5","9","8","39","18","4","12","6","3","1","4","1","5"
"g12","R","10-157","1114","347","483","24","1","12","7","0","7","0","233","505","609","13","8","3","1","45","21","14","8","2","5","0","0","1","2","0","0","0","1","2","1","2","0","0","0","1","0","0","0","0","0","0","0","0","14","15","13","16","42","48","0","16","13","25","44","50","51","0","5","11","14","26","41","124","0","11","10","14","28","60","139","0","14","7","8","11","24","41","0","16","15","17","20","30","30","0","8","2","4","5","7","5","0","2","1","1","4","7","5","58","44","56","19","28","18","22","15","87","52","37","51","18","59","16","52","30","168","61","25","48","15","31","11","9","6","27","18","9","11","2","1","0","4","1","5"
"g12","R","10-158","1092","365","425","27","0","15","9","0","10","1","240","510","582","15","6","4","0","62","38","36","10","0","2","1","0","3","1","1","0","3","0","2","0","0","4","2","2","0","0","0","0","1","2","1","0","0","11","15","6","22","32","60","0","21","17","19","37","56","69","0","11","9","11","28","39","105","0","7","14","17","35","42","107","0","17","16","11","23","31","35","0","12","11","10","33","22","19","0","6","2","1","9","4","6","0","3","3","2","10","6","10","65","32","72","24","49","13","20","13","77","34","33","39","24","45","24","26","31","169","45","25","50","25","28","7","16","10","34","15","15","7","2","2","4","6","4","7"
"g12","R","10-159","1102","412","430","26","4","8","9","0","6","0","207","488","614","8","5","2","1","45","19","22","2","2","0","1","0","0","0","1","1","0","0","1","1","0","3","0","0","2","0","0","0","1","1","5","0","0","12","20","13","19","38","74","0","9","17","27","30","51","102","0","7","2","12","29","20","108","0","8","4","13","34","23","170","0","7","16","19","20","17","29","0","9","16","16","16","10","32","0","7","4","2","7","4","2","0","1","3","3","2","7","11","62","42","67","20","51","19","22","23","106","49","36","48","22","49","15","22","23","166","45","28","25","24","35","10","10","7","23","15","5","11","4","1","3","6","0","8"
"g12","R","10-161","687","298","236","13","1","4","4","0","3","0","128","342","345","13","4","6","4","49","10","14","0","0","1","0","0","0","0","0","0","0","1","2","0","3","1","0","0","0","0","0","0","1","0","0","0","0","15","7","13","18","28","45","0","11","7","18","31","46","59","0","6","4","13","18","24","68","0","0","1","14","17","17","54","0","11","6","5","11","15","22","0","5","4","12","15","8","14","0","6","0","2","1","0","4","0","1","2","2","2","2","3","50","35","42","17","37","13","15","12","77","32","17","17","11","30","5","18","17","89","27","13","19","10","10","4","10","8","27","4","8","2","4","1","1","0","1","4"
"g12","R","10-162","828","383","219","10","0","7","3","0","12","5","189","398","430","13","8","9","3","37","12","15","4","2","0","0","0","4","2","2","0","1","0","3","0","0","0","1","0","0","0","1","0","0","0","1","0","0","20","11","16","23","44","46","0","19","21","25","35","72","51","0","16","9","4","16","27","40","0","19","2","9","25","22","30","0","23","10","14","21","17","19","0","16","17","11","13","14","14","0","3","0","1","5","10","3","0","5","1","0","4","2","3","58","39","57","30","38","7","22","10","122","41","14","21","4","22","10","15","16","76","52","20","28","9","28","10","11","3","28","8","4","7","2","0","2","2","2","10"
"g12","R","10-163","1162","602","262","26","0","13","6","0","11","6","236","554","608","40","5","12","6","59","16","11","3","0","0","1","0","1","1","1","0","2","0","4","2","1","0","0","0","1","0","0","0","0","1","2","1","0","15","30","26","33","62","78","0","17","35","44","68","98","96","0","9","14","13","26","34","48","0","5","8","12","23","19","51","0","10","20","26","21","22","31","0","8","21","18","25","22","12","0","2","6","5","8","8","7","0","3","4","2","6","6","5","104","45","88","36","64","22","28","23","192","32","25","19","14","20","13","14","8","117","61","30","34","22","24","11","18","7","29","9","6","10","3","11","1","8","2","12"
