"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g20","R","101A","586","109","352","14","0","10","3","0","1","0","97","288","298","20","26","10","0","1","14","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","5","3","0","0","2","6","6","2","7","20","0","5","10","3","7","12","29","0","17","17","26","18","45","56","0","8","13","28","22","43","59","0","10","9","11","3","10","11","0","4","8","6","9","11","5","0","1","2","0","2","2","5","0","0","2","3","2","0","9","60","19","6","2","3","0","4","0","15","177","47","33","12","17","8","5","4","49","49","15","12","3","4","4","2","0","8","13","3","8","0","1","1","1","1","0"
"g20","R","101B","3596","875","1716","142","13","41","48","0","18","2","741","1803","1793","288","198","200","56","19","47","13","2","0","0","0","0","0","1","3","0","1","2","1","0","0","1","0","0","2","1","4","2","6","10","8","1","0","48","73","58","46","67","102","0","46","77","68","62","105","123","0","61","126","139","141","201","238","0","43","123","131","121","186","206","0","54","88","82","36","52","58","0","44","89","93","57","54","34","0","19","29","25","17","27","16","0","15","26","32","19","22","17","512","91","85","15","28","12","30","13","89","955","239","131","30","57","32","42","21","209","402","163","55","14","22","12","22","7","44","186","29","15","2","5","7","1","1","18"
"g20","R","102B","536","110","314","18","0","8","5","0","0","0","81","274","262","12","16","8","1","1","12","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","5","6","8","18","0","2","6","8","8","20","21","0","7","11","20","21","46","62","0","6","15","14","19","52","41","0","3","8","10","5","10","11","0","2","5","8","6","7","6","0","0","2","5","2","4","2","0","0","3","0","1","6","6","68","7","11","2","6","2","6","2","6","150","52","17","5","16","15","12","8","39","34","18","9","4","2","0","5","1","8","18","4","6","0","0","0","0","2","1"
"g20","R","103","3257","706","1775","130","9","40","36","0","14","0","547","1640","1617","154","140","95","35","21","50","12","8","0","2","2","0","1","2","0","1","0","2","3","0","0","5","7","3","0","0","0","0","6","6","5","2","0","30","37","35","32","56","106","0","39","44","51","47","98","131","0","67","109","133","145","196","272","0","39","96","131","138","190","259","0","46","59","54","38","56","47","0","24","49","57","33","43","41","0","18","23","21","13","27","20","0","13","22","18","10","20","24","387","72","59","13","16","9","38","8","104","861","213","154","33","63","43","46","38","324","252","126","49","12","15","13","31","3","46","152","31","17","2","11","6","2","0","8"
"g20","R","104","1605","358","813","58","0","22","27","0","9","1","317","809","796","46","47","31","9","10","26","8","5","0","0","0","0","0","1","0","0","1","15","8","0","0","4","1","0","1","0","1","0","2","2","1","0","0","14","16","12","19","29","63","0","17","25","20","24","44","75","0","30","46","51","45","101","160","0","19","44","42","39","87","149","0","15","29","32","22","28","36","0","19","28","34","14","35","25","0","8","10","13","6","12","12","0","6","8","10","4","13","15","198","49","25","8","6","5","5","7","55","383","98","71","19","29","19","24","19","151","154","62","33","8","13","3","11","5","28","71","18","9","2","3","1","3","3","7"
"g20","R","105","628","185","272","26","1","3","7","1","0","0","133","303","325","91","48","62","19","3","7","3","0","0","0","0","0","1","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","15","7","7","10","14","19","0","15","17","17","15","22","27","0","18","22","24","24","31","27","0","11","14","27","17","21","36","0","11","12","13","11","10","5","0","12","17","15","10","12","5","0","7","5","7","1","1","2","0","3","6","4","2","0","0","102","11","16","5","2","5","3","3","38","134","38","24","8","15","5","13","3","32","69","19","15","5","3","1","6","3","12","25","3","4","1","2","1","0","0","2"
"g20","R","106","3222","1152","1037","117","14","45","40","0","14","1","802","1531","1691","319","132","238","46","39","36","24","5","1","2","4","0","2","0","0","0","0","0","1","0","11","1","5","2","6","2","4","0","6","7","6","2","0","65","104","51","67","78","112","0","81","115","95","89","121","174","0","32","80","62","90","117","151","0","12","70","48","82","127","166","0","70","81","81","58","57","53","0","63","88","80","64","51","56","0","21","25","28","18","18","12","0","10","22","24","15","19","19","686","155","87","22","24","28","33","14","103","540","114","88","29","29","18","20","22","177","425","142","83","18","34","10","23","7","60","157","29","14","6","8","3","2","3","9"
"g20","R","107","1135","320","540","39","0","6","13","0","3","1","213","524","611","36","25","29","9","13","26","5","0","0","2","1","0","0","0","0","1","2","0","1","0","1","2","0","0","0","0","3","0","1","4","0","0","0","7","23","15","16","14","46","0","14","27","21","26","31","80","0","21","23","32","39","37","118","0","11","23","30","48","30","128","0","17","15","23","16","10","20","0","13","21","16","16","14","32","0","3","8","4","3","7","7","0","4","7","2","3","7","7","212","40","14","5","4","2","14","14","15","288","75","37","12","11","10","16","27","64","118","32","23","5","9","2","6","9","9","50","3","0","2","2","1","2","1","1"
"g20","R","108","2245","632","991","82","8","23","28","0","5","0","476","1137","1108","168","103","112","27","19","31","13","4","1","2","1","0","1","3","2","2","0","0","1","0","1","1","4","2","2","2","6","1","6","8","3","1","0","28","42","34","44","44","83","0","38","43","54","52","66","104","0","51","58","67","96","119","127","0","28","50","75","104","99","117","0","45","50","47","47","31","36","0","27","51","41","38","36","27","0","10","13","26","19","11","9","0","3","11","17","11","8","8","308","106","51","9","21","19","26","8","84","531","110","64","28","38","25","38","15","142","219","116","48","17","17","11","15","8","25","100","11","13","3","5","5","1","1","7"
"g20","R","109","3190","1048","1290","120","9","37","38","0","12","1","635","1550","1640","215","138","149","31","32","40","17","6","2","4","0","0","5","0","0","0","1","1","0","0","2","1","4","2","0","1","1","0","11","12","13","4","0","50","67","65","57","71","132","0","54","83","76","62","107","224","0","50","86","98","102","133","190","0","22","64","83","81","143","238","0","45","85","65","42","35","53","0","47","68","64","47","27","57","0","18","31","21","18","18","18","0","9","15","17","13","15","24","618","120","54","19","17","27","34","16","143","662","151","101","22","55","34","27","29","209","321","137","59","23","21","9","16","9","40","133","33","14","3","9","4","1","1","19"
