"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g14","V","101","750","164","434","24","2","5","2","0","9","0","110","368","382","22","29","10","3","2","13","5","3","0","0","0","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","2","3","8","23","26","0","2","3","7","18","36","35","0","12","14","19","39","67","76","0","2","19","22","40","56","68","0","4","5","9","8","20","16","0","0","4","4","12","16","12","0","0","0","0","5","6","5","0","1","4","3","8","6","4","12","24","11","22","10","16","4","8","57","41","60","40","42","34","46","24","35","112","17","18","15","13","10","6","5","5","21","8","5","3","4","6","2","4","1","9"
"g14","V","102","966","184","592","28","1","20","8","0","2","0","131","484","482","23","33","8","2","6","15","2","0","0","1","0","0","0","1","3","0","0","0","0","0","0","0","0","0","1","0","1","1","1","2","0","0","0","0","4","1","6","24","47","0","0","4","6","10","27","55","0","1","12","15","57","83","144","0","4","12","18","53","81","112","0","4","4","9","4","16","24","0","3","4","10","18","17","18","0","1","1","3","4","10","10","0","0","4","3","8","9","6","17","23","26","22","12","22","9","12","41","55","85","46","65","43","75","19","49","155","24","25","14","20","11","11","4","12","10","13","14","8","8","2","0","3","3","8"
"g14","V","103","682","151","418","22","0","6","5","0","1","0","79","346","336","18","21","10","1","6","11","2","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","3","3","13","22","31","0","2","3","6","14","30","24","0","5","8","22","36","69","73","0","3","12","15","38","64","73","0","2","6","6","10","10","8","0","0","10","7","5","8","7","0","0","4","1","2","3","9","0","1","4","2","3","2","3","13","9","9","19","12","18","7","8","56","18","46","33","31","28","40","36","23","163","10","14","7","16","10","5","3","1","13","8","14","3","4","0","0","0","2","3"
"g14","V","104","405","97","223","5","0","3","3","0","3","0","71","196","209","8","5","4","1","4","8","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","2","0","12","22","0","1","3","4","7","21","23","0","5","7","4","17","35","42","0","1","3","6","24","35","44","0","2","3","5","6","13","10","0","2","3","2","7","11","7","0","0","1","1","3","2","2","0","0","2","1","1","1","0","9","15","6","7","7","5","4","5","39","18","23","13","16","19","25","9","13","87","10","9","8","11","3","10","3","3","14","3","4","2","0","0","3","0","0","2"
"g14","V","105","466","89","285","13","0","6","3","0","1","0","69","238","228","11","9","7","1","1","15","4","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","5","8","25","0","0","3","0","4","22","22","0","4","5","3","21","45","70","0","3","5","5","16","55","53","0","3","5","5","5","9","11","0","3","3","3","6","8","8","0","1","1","0","3","2","7","0","0","2","1","2","2","2","7","7","6","7","15","8","7","6","26","26","31","23","25","28","35","14","11","92","14","11","5","15","6","4","3","5","6","4","2","4","4","5","1","0","1","2"
"g14","V","106","732","159","457","13","1","4","3","0","3","0","92","372","360","17","23","2","1","7","20","5","4","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","0","0","0","1","6","5","9","16","39","0","0","6","6","15","26","30","0","9","12","12","40","68","96","0","4","9","18","39","71","79","0","0","3","0","10","13","20","0","0","3","4","13","12","14","0","1","4","1","3","0","4","0","0","0","1","2","4","4","18","13","6","27","12","15","11","7","50","39","59","40","37","37","55","29","20","141","14","16","10","17","3","13","4","4","11","8","5","3","0","0","3","1","1","3"
"g14","V","107","262","69","143","8","0","2","2","0","0","0","38","128","134","24","10","7","2","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","14","14","0","0","3","2","4","10","16","0","2","4","11","17","13","23","0","3","8","12","9","22","19","0","1","4","1","7","4","1","0","6","3","2","5","4","0","0","1","1","1","0","2","1","0","2","1","0","1","1","1","10","6","7","3","3","11","1","7","21","15","26","17","14","4","15","2","8","42","7","10","9","3","2","4","0","1","2","1","7","1","0","0","0","1","1","1"
"g14","V","108","752","225","399","10","1","9","5","0","3","0","100","341","411","31","13","10","0","13","20","4","0","0","2","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","8","6","11","12","45","0","2","8","13","17","29","74","0","1","6","22","17","40","106","0","0","8","20","22","31","126","0","2","4","8","9","9","21","0","0","6","9","4","13","15","0","2","0","2","2","5","3","0","0","2","1","1","3","7","29","28","20","34","38","26","12","11","27","42","60","32","48","57","43","24","17","76","19","19","12","20","13","11","2","3","1","8","11","5","0","3","0","1","0","0"
"g14","V","109","709","236","334","15","0","7","6","0","5","0","106","337","372","37","15","5","3","9","9","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","1","0","0","2","11","9","12","20","34","0","3","10","12","17","47","59","0","7","14","17","18","57","63","0","1","10","13","18","52","64","0","1","9","6","15","12","13","0","2","10","8","13","10","7","0","1","3","4","4","3","2","0","0","2","1","4","3","6","38","32","23","30","20","17","8","10","58","30","41","30","30","13","30","13","25","122","16","29","7","10","4","14","5","3","18","8","10","3","2","1","3","0","2","4"
"g14","V","110","383","107","188","10","0","6","5","0","6","0","61","183","200","13","7","10","4","7","5","1","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","1","5","12","20","0","0","6","10","5","20","23","0","0","6","4","15","29","36","0","1","6","9","9","37","36","0","3","7","2","7","5","10","0","1","5","3","8","7","3","0","2","4","1","0","3","6","0","0","3","1","2","2","3","12","16","10","8","8","8","9","6","30","19","20","18","11","14","24","10","9","63","14","11","16","5","1","2","3","4","5","6","6","6","3","1","1","0","1","3"
