"election","type","srprec","totreg_r","dem","rep","aip","paf","msc","lib","nlp","grn","ref","dcl","male","female","hispdem","hisprep","hispdcl","hispoth","jewdem","jewrep","jewdcl","jewoth","kordem","korrep","kordcl","koroth","jpndem","jpnrep","jpndcl","jpnoth","chidem","chirep","chidcl","chioth","inddem","indrep","inddcl","indoth","vietdem","vietrep","vietdcl","vietoth","fildem","filrep","fildcl","filoth","demmunk","demm1824","demm2534","demm3544","demm4554","demm5564","demm65pl","demfunk","demf1824","demf2534","demf3544","demf4554","demf5564","demf65pl","repmunk","repm1824","repm2534","repm3544","repm4554","repm5564","repm65pl","repfunk","repf1824","repf2534","repf3544","repf4554","repf5564","repf65pl","dclmunk","dclm1824","dclm2534","dclm3544","dclm4554","dclm5564","dclm65pl","dclfunk","dclf1824","dclf2534","dclf3544","dclf4554","dclf5564","dclf65pl","othmunk","othm1824","othm2534","othm3544","othm4554","othm5564","othm65pl","othfunk","othf1824","othf2534","othf3544","othf4554","othf5564","othf65pl","dreg1g","dreg2g","dreg3g","dreg4g","dreg5g","dreg6g","dreg7g","dreg8g","dreg9g","rreg1g","rreg2g","rreg3g","rreg4g","rreg5g","rreg6g","rreg7g","rreg8g","rreg9g","ireg1g","ireg2g","ireg3g","ireg4g","ireg5g","ireg6g","ireg7g","ireg8g","ireg9g","oreg1g","oreg2g","oreg3g","oreg4g","oreg5g","oreg6g","oreg7g","oreg8g","oreg9g"
"g12","V","101","1163","289","622","40","2","15","9","0","9","0","177","557","606","54","43","28","8","5","11","6","4","0","0","0","0","2","0","1","0","0","2","0","0","1","0","1","0","0","0","1","0","1","2","2","0","0","3","9","10","27","30","35","0","3","19","19","42","43","49","0","15","27","41","71","79","83","0","14","35","40","72","71","74","0","6","18","14","16","17","16","0","4","16","12","24","22","12","0","0","5","9","10","10","6","0","3","7","4","8","8","5","34","21","55","17","54","8","16","17","67","85","68","84","54","90","35","45","34","127","33","31","36","17","22","5","8","4","21","19","8","11","6","5","5","6","4","11"
"g12","V","102","958","199","565","27","0","22","5","0","7","0","133","477","481","20","38","4","4","4","17","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","5","5","14","25","41","0","2","5","4","17","34","46","0","6","24","20","63","71","107","0","5","20","21","71","74","83","0","3","9","3","18","11","18","0","5","11","15","19","10","11","0","1","2","4","4","13","9","0","1","5","5","6","7","4","21","28","23","14","27","11","16","16","43","72","49","65","32","106","27","54","24","136","28","21","26","12","16","5","9","8","8","16","11","11","5","4","1","2","1","10"
"g12","V","103","980","211","581","35","3","10","6","0","4","0","130","494","486","28","36","17","5","9","18","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","1","0","3","7","3","24","30","30","0","2","6","12","22","40","32","0","10","26","32","62","86","75","0","10","30","35","60","83","72","0","2","12","14","18","15","7","0","3","14","8","19","16","2","0","4","4","3","7","13","7","0","1","1","2","6","4","6","18","11","33","19","27","8","15","11","69","57","68","50","46","64","48","40","30","178","17","15","27","16","20","4","4","8","19","14","10","9","2","5","1","4","2","11"
"g12","V","104","1158","247","681","28","1","15","10","0","3","0","173","578","580","29","27","12","3","3","28","8","2","0","2","0","0","0","1","1","0","0","4","0","0","0","2","0","0","1","0","1","0","0","4","1","0","0","1","2","7","16","34","45","0","0","7","9","23","49","54","0","18","21","24","64","109","125","0","9","25","24","59","110","93","0","9","12","10","10","22","22","0","8","10","17","16","22","15","0","1","2","3","6","7","8","0","1","3","4","7","8","7","28","20","30","27","29","16","18","11","68","93","88","88","65","77","25","45","36","164","38","27","31","15","24","7","11","7","13","10","8","10","8","7","1","4","2","7"
"g12","V","105","523","127","281","17","0","5","4","0","5","0","84","250","273","11","8","4","2","5","14","2","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","3","5","4","14","22","0","2","5","10","11","22","26","0","13","8","9","25","37","45","0","4","3","11","36","40","50","0","4","1","6","10","13","8","0","5","5","6","12","8","6","0","3","3","3","5","3","3","0","1","4","0","4","2","0","18","11","19","7","11","5","6","3","47","34","25","25","28","28","13","20","9","99","16","10","15","7","15","3","6","1","11","10","5","6","1","4","0","0","0","5"
"g12","V","106","1003","219","609","18","0","10","2","0","3","0","142","497","506","31","28","8","2","8","31","8","2","0","1","0","0","0","0","1","0","0","0","0","0","0","1","4","0","0","1","0","0","0","3","0","0","0","2","9","8","18","24","41","0","2","14","14","29","28","30","0","18","18","30","63","87","92","0","6","22","35","60","96","82","0","3","9","6","19","17","17","0","6","5","13","25","13","9","0","0","5","2","5","2","2","0","1","4","4","2","5","1","24","19","44","13","26","15","10","16","52","62","65","65","59","93","38","33","35","159","22","14","40","6","29","6","11","3","11","8","8","6","2","3","1","2","1","2"
"g12","V","107","379","107","192","12","0","3","2","0","1","0","62","187","192","40","17","13","5","1","6","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","2","2","6","13","15","15","0","2","5","4","16","13","14","0","6","9","16","21","18","24","0","4","15","14","20","25","20","0","4","2","6","6","8","4","0","6","6","8","8","4","0","0","2","1","2","1","0","4","0","2","1","1","3","0","1","9","16","8","8","20","2","12","3","29","34","25","21","9","31","7","10","6","49","17","11","9","3","11","2","2","3","4","6","3","2","1","2","1","2","1","0"
"g12","V","108","1061","316","537","11","0","13","5","0","3","0","176","467","594","58","32","39","2","19","20","3","0","0","3","0","0","0","0","0","0","2","0","1","0","4","1","1","0","0","1","0","0","0","1","0","0","0","2","9","13","17","24","45","0","10","15","22","28","43","88","0","8","21","32","32","56","110","0","4","25","38","37","51","123","0","4","13","11","16","15","22","0","9","16","25","8","20","17","0","0","2","5","2","6","2","0","1","1","0","3","5","5","46","33","59","60","40","18","24","6","30","95","52","72","79","80","40","29","15","75","38","29","36","23","28","7","10","2","3","9","9","4","5","2","1","2","0","0"
"g12","V","109","925","308","393","21","1","8","11","0","7","0","176","411","514","64","29","17","5","8","7","6","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","1","1","2","1","0","4","14","16","19","27","34","0","8","20","21","43","51","51","0","5","21","23","30","58","51","0","8","25","18","37","52","65","0","3","15","19","19","15","15","0","8","22","17","22","15","6","0","2","9","6","3","3","0","0","4","4","4","5","4","4","47","34","61","31","30","11","15","10","69","35","49","57","20","39","15","41","4","133","46","19","28","16","23","6","6","7","25","12","12","8","7","2","0","2","3","2"
"g12","V","110","723","206","327","24","0","17","9","0","11","0","129","340","383","19","15","15","8","5","15","3","5","0","0","0","0","2","1","0","0","1","0","2","0","2","1","0","0","0","0","1","0","1","1","0","0","0","5","8","5","13","28","23","0","3","12","20","18","40","31","0","4","12","15","35","46","51","0","3","16","20","28","47","50","0","7","13","6","17","12","6","0","4","22","3","21","14","4","0","3","5","4","3","13","6","0","1","9","3","5","5","4","34","28","22","22","24","13","12","11","40","55","41","27","27","39","15","17","18","88","36","29","16","6","14","6","8","3","11","13","18","13","2","3","4","2","1","5"
