"county","srprec","addist","cddist","sddist","bedist","TOTREG","DEMREG","REPREG","AIPREG","GRNREG","LIBREG","NLPREG","REFREG","DCLREG","MSCREG","TOTVOTE","DEMVOTE","REPVOTE","AIPVOTE","GRNVOTE","LIBVOTE","NLPVOTE","REFVOTE","DCLVOTE","MSCVOTE","PRCVOTE","ABSVOTE","ASSDEM01","ASSDEM02","ASSGRN01","ASSIND01","ASSLIB01","ASSREP01","ASSREP02","CNGDEM01","CNGDEM02","CNGREP01","PRSAIP01","PRSDEM01","PRSGRN01","PRSLIB01","PRSPAF01","PRSREP01","PR_14_N","PR_14_Y","PR_15_N","PR_15_Y","PR_16_N","PR_16_Y","PR_17_N","PR_17_Y","PR_18_N","PR_18_Y","PR_19_N","PR_19_Y","PR_20_N","PR_20_Y","PR_21_N","PR_21_Y","PR_22_N","PR_22_Y","PR_23_N","PR_23_Y","PR_24_N","PR_24_Y","PR_25_N","PR_25_Y","SENAIP01","SENDEM01","SENDEM02","SENLIB01","SENREP01"
"42","30-6110","37","24","19","2","1804","0","0","0","0","0","0","0","0","0","1685","0","0","0","0","0","0","0","0","0","0","0","749","0","0","0","0","883","0","744","0","911","4","801","9","21","4","820","1060","567","1161","473","1161","455","918","730","1128","517","1046","556","919","676","1264","350","584","1039","1197","405","891","707","1038","537","0","780","0","0","866"
"42","30-6710","35","24","19","2","4927","0","0","0","0","0","0","0","0","0","4400","0","0","0","0","0","0","0","0","0","0","0","1619","0","0","0","0","2654","0","1822","0","2519","16","2001","18","73","13","2204","2688","1559","2891","1407","3180","1098","2533","1766","3086","1222","2505","1711","2209","2009","3097","1138","1428","2835","3066","1203","2201","2027","2828","1377","0","1933","0","0","2338"
"42","30-6810","35","24","19","2","30","0","0","0","0","0","0","0","0","0","30","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","21","0","11","0","19","0","11","1","0","0","18","21","8","17","12","19","10","15","14","23","6","19","9","14","15","21","8","19","10","22","6","16","13","19","10","0","14","0","0","16"
"42","30-6910","35","24","19","2","2268","0","0","0","0","0","0","0","0","0","1933","0","0","0","0","0","0","0","0","0","0","0","700","0","0","0","0","1177","0","771","0","1129","5","843","3","43","3","1012","1176","673","1319","565","1377","484","1098","771","1351","525","1085","745","974","862","1374","480","660","1202","1397","463","979","851","1243","596","0","824","0","0","1044"
"42","30-7010","35","24","19","2","26","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","9","0","15","0","6","0","15","0","0","0","6","11","10","11","10","13","8","11","10","13","8","13","8","10","11","17","4","10","11","17","4","9","12","14","7","0","15","0","0","6"
"42","30-7210","37","24","19","2","923","0","0","0","0","0","0","0","0","0","822","0","0","0","0","0","0","0","0","0","0","0","414","0","0","0","0","378","0","410","0","400","2","423","3","14","2","369","449","351","499","308","511","279","392","414","523","282","454","329","438","348","521","273","305","488","539","254","390","406","475","315","0","445","0","0","357"
"42","30-7310","37","24","19","2","131","0","0","0","0","0","0","0","0","0","103","0","0","0","0","0","0","0","0","0","0","0","52","0","0","0","0","42","0","57","0","44","0","65","0","0","0","38","60","40","73","27","76","24","59","42","66","34","58","41","69","29","72","28","47","53","66","30","44","57","72","28","0","56","0","0","43"
"42","30-7410","35","24","19","2","784","0","0","0","0","0","0","0","0","0","555","0","0","0","0","0","0","0","0","0","0","0","291","0","0","0","0","253","0","333","0","216","2","339","4","9","1","192","262","278","310","237","338","199","252","292","313","233","266","269","332","206","315","223","267","275","308","228","207","326","322","207","0","359","0","0","181"
"42","33-3348","37","24","19","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","33-3353","37","24","19","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","1","0","1","0","1","1","0","0","1","1","0","0","1","0","1","0","1","0","1","0","0","0"
